0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1359.0,,,,,,,,,,,,,,,,,,,,,,1489.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1317.0,,,,,,873.0,,,,,,,,,,,,,,1084.0,,,,,,,,,,,,,,,,,,,,845.0,,,,1382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537.0,,,,,,,,,,,,,,,,,,,,,,
,,,1463.0,,,,,,775.0,,,,,,,,,,,,,,1415.0,,1429.0,,,,,,,,,,,,,,,,,,1141.0,,,,1203.0,,,,,,,,,,1.0,,,,,,1015.0,,,,,,,,,,,,,,,,,,,,,,,,,,1400.0,,,,1370.0,,,,,,
,,,,,,,,,897.0,,,,,,,,,,,,,,,,,,,,,,,,,,1182.0,,,,,,,,1070.0,,,,789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139.0,,,,,,
,,,1507.0,,,,,,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,857.0,,,,,,,,1252.0,,,,803.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456.0,,,,,,,,,,,,,,,,1235.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1255.0,,,,,,,,,,,,,,,,,,,,1375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1041.0,,,,,,,,,,,,,,1338.0,,1480.0,,,,,,,,,,971.0,,,,,,,,1006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,930.0,,,,,,,,,,,,,,,,1296.0,,,,,,,,,,1387.0,,,,,,,,,,,,1444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
