0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1765.0,,1327.0,,1750.0,,2216.0,,1481.0,,,,,,,,,,,,2109.0,,983.0,,1449.0,,1646.0,,2142.0,,1934.0,,1550.0,,1082.0,,1251.0,,1474.0,,845.0,,936.0,,815.0,,877.0,,1164.0,,2027.0,,1554.0,,2436.0,,2895.0,,1847.0,,,,1845.0,,,,1851.0,,3072.0,,2258.0,,,,1538.0,,1566.0,,1341.0,,1376.0,,1248.0,,1562.0,,2361.0,,1730.0,,1418.0,,1224.0,,1273.0,,1584.0,,1802.0
,1779.0,,1130.0,,1345.0,,2363.0,,1437.0,,,,,,,,2298.0,,,,2182.0,,1213.0,,1333.0,,1868.0,,2041.0,,2274.0,,1424.0,,1111.0,,1101.0,,1410.0,,1001.0,,743.0,,1193.0,,764.0,,1415.0,,2563.0,,1639.0,,2579.0,,,,1833.0,,,,1863.0,,,,1810.0,,,,3038.0,,,,1658.0,,1540.0,,1461.0,,1479.0,,1233.0,,1396.0,,2562.0,,1639.0,,1257.0,,1206.0,,1177.0,,2052.0,,2050.0
,1958.0,,1146.0,,1271.0,,2272.0,,1436.0,,,,,,,,2474.0,,,,,,1083.0,,1255.0,,1977.0,,1997.0,,1764.0,,1374.0,,1106.0,,1483.0,,1241.0,,891.0,,811.0,,924.0,,808.0,,1530.0,,1962.0,,1656.0,,2634.0,,,,1810.0,,,,1741.0,,,,2357.0,,,,2570.0,,,,2564.0,,1345.0,,1295.0,,1435.0,,1266.0,,1504.0,,,,1739.0,,1584.0,,1029.0,,1050.0,,2386.0,,1946.0
,1952.0,,1201.0,,1288.0,,2224.0,,1452.0,,,,,,,,2328.0,,,,2251.0,,882.0,,1267.0,,1781.0,,2190.0,,1932.0,,1489.0,,1313.0,,1217.0,,1738.0,,677.0,,781.0,,1209.0,,676.0,,1310.0,,1617.0,,1741.0,,2548.0,,2883.0,,1921.0,,,,1794.0,,,,2021.0,,,,2182.0,,,,1961.0,,1343.0,,1420.0,,1335.0,,919.0,,1321.0,,2599.0,,1823.0,,1175.0,,976.0,,1019.0,,1990.0,,2000.0
,1840.0,,931.0,,1428.0,,2566.0,,1469.0,,,,,,,,,,,,2268.0,,1039.0,,1241.0,,1643.0,,2350.0,,2015.0,,1680.0,,1123.0,,1254.0,,1394.0,,828.0,,842.0,,981.0,,959.0,,1679.0,,2216.0,,1966.0,,2518.0,,,,1901.0,,,,1266.0,,,,2231.0,,,,2058.0,,,,1670.0,,1294.0,,1244.0,,1457.0,,1176.0,,1218.0,,2729.0,,1639.0,,1524.0,,1035.0,,1150.0,,2008.0,,2047.0
,2183.0,,1139.0,,1450.0,,2018.0,,1603.0,,,,,,,,,,,,3060.0,,1091.0,,1534.0,,1834.0,,2097.0,,1864.0,,1733.0,,1057.0,,1224.0,,1552.0,,960.0,,911.0,,1159.0,,811.0,,1253.0,,2029.0,,2172.0,,2230.0,,,,2148.0,,,,1784.0,,,,1895.0,,,,2051.0,,,,1654.0,,1384.0,,1470.0,,1455.0,,1452.0,,1674.0,,2404.0,,1545.0,,1482.0,,1206.0,,1112.0,,1831.0,,1945.0
,1905.0,,963.0,,1366.0,,2380.0,,1390.0,,,,,,,,,,,,2074.0,,1061.0,,1602.0,,1745.0,,2355.0,,1744.0,,1371.0,,1029.0,,1416.0,,1447.0,,848.0,,860.0,,961.0,,999.0,,1438.0,,1922.0,,1818.0,,2558.0,,2916.0,,2228.0,,,,1653.0,,,,2021.0,,2860.0,,2721.0,,,,1348.0,,1357.0,,1617.0,,1377.0,,1228.0,,1475.0,,2782.0,,1504.0,,1483.0,,1216.0,,1036.0,,1895.0,,2092.0
,1811.0,,1301.0,,1247.0,,2129.0,,1798.0,,,,,,,,,,,,,,904.0,,1652.0,,1814.0,,1873.0,,1776.0,,1508.0,,1213.0,,959.0,,1239.0,,839.0,,816.0,,887.0,,1079.0,,1416.0,,2678.0,,1712.0,,,,2804.0,,1696.0,,,,1642.0,,,,1750.0,,2791.0,,1947.0,,,,1562.0,,1087.0,,1405.0,,1502.0,,1087.0,,1485.0,,2648.0,,1642.0,,1092.0,,1111.0,,1249.0,,1715.0,,1707.0
,1960.0,,1092.0,,1703.0,,1675.0,,1649.0,,,,,,,,,,,,2823.0,,1045.0,,1476.0,,1704.0,,2136.0,,1998.0,,1577.0,,1396.0,,1022.0,,1337.0,,1000.0,,711.0,,1087.0,,710.0,,1354.0,,2226.0,,1413.0,,2381.0,,,,1884.0,,,,1649.0,,,,2152.0,,2719.0,,2392.0,,,,1299.0,,1481.0,,1444.0,,1514.0,,1135.0,,1408.0,,2314.0,,1759.0,,1355.0,,1314.0,,1176.0,,2332.0,,1968.0
,1762.0,,1043.0,,1432.0,,2027.0,,1901.0,,,,,,,,2603.0,,,,,,995.0,,1613.0,,2074.0,,1813.0,,2262.0,,1693.0,,1269.0,,1438.0,,1384.0,,1223.0,,984.0,,1304.0,,921.0,,1436.0,,2031.0,,2449.0,,2674.0,,,,1779.0,,,,1748.0,,,,2326.0,,2878.0,,1835.0,,,,1299.0,,1666.0,,1138.0,,1491.0,,1254.0,,1357.0,,2164.0,,1642.0,,1278.0,,1067.0,,851.0,,2122.0,,2208.0
