0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,897.0,,,,1447.0,,,,,,,,,,,,,,,,,,902.0,,,,46.0,,,,,,750.0,,792.0,,369.0,,539.0,,37.0,,39.0,,39.0,,41.0,,47.0,,46.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,,906.0,,800.0,,952.0,,232.0,,,,,,875.0,,52.0,,36.0,,47.0,,52.0,,46.0
,,,,,,,,,,,,,,,,,,,,,,,798.0,,,,,,,,,,673.0,,862.0,,35.0,,40.0,,42.0,,51.0,,49.0,,49.0,,51.0,,48.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,,933.0,,,,805.0,,43.0,,42.0,,,,730.0,,51.0,,44.0,,42.0,,41.0,,48.0
,,,1121.0,,1234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,743.0,,643.0,,,,42.0,,42.0,,47.0,,39.0,,37.0,,752.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.0,,32.0,,856.0,,,,943.0,,48.0,,830.0,,47.0,,,,603.0
,,,874.0,,,,,,,,,,,,,,,,,,,,831.0,,,,40.0,,,,,,42.0,,734.0,,36.0,,956.0,,37.0,,36.0,,42.0,,51.0,,54.0,,39.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,639.0,,,,43.0,,50.0,,55.0,,50.0,,50.0,,52.0
,,,1038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.0,,458.0,,44.0,,54.0,,35.0,,34.0,,45.0,,53.0,,728.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,829.0,,660.0,,50.0,,311.0,,,,54.0,,44.0,,34.0,,39.0,,,,736.0
,,,1043.0,,1232.0,,,,,,,,,,,,,,,,,,624.0,,919.0,,,,,,,,843.0,,482.0,,43.0,,534.0,,42.0,,35.0,,42.0,,44.0,,34.0,,,,580.0,,,,,,,,,,,,,,,,,,,,,,960.0,,,,637.0,,929.0,,587.0,,592.0,,,,594.0,,44.0,,53.0,,38.0,,679.0,,609.0
,,,927.0,,1134.0,,,,,,,,,,,,,,,,,,939.0,,,,,,,,,,,,623.0,,626.0,,833.0,,53.0,,45.0,,44.0,,47.0,,43.0,,761.0,,931.0,,,,,,,,,,,,,,,,,,,,,,,,945.0,,,,612.0,,602.0,,48.0,,,,,,58.0,,60.0,,751.0,,,,
,,,1225.0,,,,,,,,,,,,,,,,,,,,784.0,,,,,,,,,,,,646.0,,42.0,,791.0,,46.0,,50.0,,48.0,,39.0,,54.0,,909.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,,794.0,,,,,,537.0,,50.0,,902.0,,615.0,,52.0,,54.0,,47.0,,39.0,,533.0
,,,1056.0,,,,,,,,,,,,,,,,,,,,475.0,,,,,,,,,,44.0,,699.0,,55.0,,684.0,,38.0,,45.0,,51.0,,35.0,,44.0,,678.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.0,,44.0,,53.0,,50.0,,44.0,,42.0,,45.0,,,,573.0
,,,876.0,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,744.0,,752.0,,35.0,,917.0,,35.0,,52.0,,35.0,,51.0,,45.0,,39.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,44.0,,,,422.0,,459.0,,37.0,,42.0,,49.0,,532.0
,,,1054.0,,,,,,,,,,,,,,,,,,,,661.0,,,,,,,,,,43.0,,,,572.0,,,,51.0,,53.0,,48.0,,34.0,,39.0,,907.0,,43.0,,,,,,,,,,,,10.0,,,,,,,,,,,,910.0,,,,,,483.0,,656.0,,,,35.0,,46.0,,42.0,,46.0,,557.0,,483.0
