0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.0,,,,47.0,,51.0,,54.0,,52.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.0,,307.0,,,,39.0,,239.0,,48.0,,45.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630.0,,570.0,,,,446.0,,53.0,,38.0,,40.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.0,,,,,,258.0,,40.0,,34.0,,672.0,,613.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611.0,,397.0,,609.0,,43.0,,53.0,,37.0,,49.0,,37.0,,,,591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.0,,,,,,,,693.0,,40.0,,196.0,,,,
,,,926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.0,,610.0,,36.0,,,,50.0,,46.0,,38.0,,53.0,,36.0,,,,513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.0,,53.0,,560.0,,,,,,51.0,,38.0,,35.0,,,,
,,,823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.0,,559.0,,,,42.0,,216.0,,38.0,,49.0,,37.0,,,,379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702.0,,617.0,,34.0,,37.0,,,,
,,,919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.0,,,,55.0,,,,39.0,,48.0,,48.0,,51.0,,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.0,,,,,,,,635.0,,344.0,,52.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,57.0,,51.0,,44.0,,305.0,,63.0,,,,526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.0,,631.0,,511.0,,,,679.0,,,,310.0,,418.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.0,,,,47.0,,47.0,,42.0,,46.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.0,,392.0,,,,649.0,,439.0,,43.0,,106.0,,,,
,,,814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.0,,433.0,,,,36.0,,50.0,,37.0,,54.0,,37.0,,,,707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0,,54.0,,44.0,,,,690.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.0,,,,35.0,,35.0,,37.0,,43.0,,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.0,,632.0,,,,,,467.0,,53.0,,49.0,,,,705.0
