0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1243.0,,,,1314.0,,1623.0,,1466.0,,,,,,,,,,1666.0,1.0,,,266.0,,1496.0,,,,1797.0,,1141.0,,,,767.0,,38.0,,43.0,,51.0,,34.0,,39.0,,34.0,,46.0,,46.0,,597.0,,,,,,,,,,,,,,1485.0,,,,784.0,,,,,,1089.0,,1308.0,,661.0,,36.0,,47.0,,748.0,,34.0,,44.0,,48.0,,34.0,,38.0,,49.0
,,,1315.0,,,,,,1738.0,,,,,,,,,,,1635.0,,,1284.0,,,,,,1351.0,,,,1030.0,,1048.0,,54.0,,45.0,,52.0,,50.0,,42.0,,47.0,,52.0,,49.0,,47.0,,,,,,,,,,1339.0,,,,,,,,,,,,1503.0,,1193.0,,950.0,,610.0,,51.0,,44.0,,40.0,,39.0,,35.0,,40.0,,51.0,,46.0,,454.0
,,,1310.0,,,,1781.0,,1446.0,,,,,,,,,,,1513.0,,,522.0,,807.0,,1217.0,,1404.0,,,,,,555.0,,39.0,,47.0,,43.0,,36.0,,47.0,,39.0,,49.0,,46.0,,36.0,,,,,,,,,,1333.0,,,,731.0,,,,,,,,,,1270.0,,1298.0,,487.0,,35.0,,41.0,,821.0,,51.0,,47.0,,35.0,,36.0,,44.0,,54.0
,,,1129.0,,,,1758.0,,1390.0,,,,,,,,,,,,,,797.0,,1311.0,,1049.0,,,,1575.0,,52.0,,811.0,,43.0,,45.0,,51.0,,42.0,,35.0,,49.0,,42.0,,53.0,,48.0,,,,,,,,,,1551.0,,,,1265.0,,,,38.0,,,,1320.0,,1032.0,,946.0,,54.0,,53.0,,37.0,,638.0,,116.0,,41.0,,47.0,,53.0,,,,35.0
,,,1485.0,,1662.0,,1755.0,,1564.0,,,,,,,,,,,,,,41.0,,1589.0,,889.0,,1527.0,,,,46.0,,779.0,,35.0,,553.0,,51.0,,48.0,,35.0,,42.0,,42.0,,55.0,,53.0,,,,,,1456.0,,,,1488.0,,,,,,,,,,,,,,1159.0,,,,1306.0,,517.0,,44.0,,54.0,,38.0,,35.0,,37.0,,41.0,,,,494.0
,,,946.0,,1907.0,,,,1363.0,,,,,,,,,,,,,,274.0,,1302.0,,1096.0,,1364.0,,,,496.0,,750.0,,51.0,,528.0,,41.0,,47.0,,44.0,,44.0,,49.0,,41.0,,,,,,,,,,,,1478.0,,,,,,,,1427.0,,,,1448.0,,920.0,,866.0,,38.0,,51.0,,44.0,,35.0,,42.0,,46.0,,47.0,,53.0,,565.0,,443.0
,,,1599.0,,1269.0,,,,1502.0,,,,,,,,,,,1688.0,,,47.0,,1314.0,,1403.0,,1657.0,,1137.0,,55.0,,597.0,,35.0,,38.0,,49.0,,43.0,,36.0,,47.0,,46.0,,,,,,1734.0,,,,,,,,1367.0,,,,1422.0,,,,,,,,1626.0,,1125.0,,1076.0,,523.0,,46.0,,52.0,,54.0,,49.0,,38.0,,52.0,,54.0,,43.0,,52.0
,,,1299.0,,,,1439.0,,1515.0,,,,,,,,,,,,,,37.0,,1392.0,,35.0,,,,,,46.0,,928.0,,40.0,,515.0,,42.0,,50.0,,52.0,,35.0,,51.0,,,,542.0,,1472.0,,,,,,,,,,,,1603.0,,,,51.0,,,,,,1415.0,,1279.0,,1032.0,,521.0,,46.0,,45.0,,42.0,,37.0,,36.0,,40.0,,,,48.0
,,,1228.0,,1695.0,,,,1364.0,,,,,,,,,,,,,,1033.0,,1383.0,,920.0,,1483.0,,,,1261.0,,930.0,,44.0,,274.0,,43.0,,41.0,,36.0,,36.0,,54.0,,48.0,,,,,,,,,,,,1258.0,,,,1643.0,,,,986.0,,,,,,1074.0,,782.0,,53.0,,44.0,,38.0,,41.0,,34.0,,46.0,,46.0,,35.0,,36.0,,717.0
,,,1483.0,,1800.0,,,,1459.0,,,,,,,,,,,,,,1022.0,,1566.0,,1154.0,,1574.0,,,,46.0,,598.0,,39.0,,51.0,,35.0,,52.0,,52.0,,35.0,,46.0,,46.0,,,,,,,,1582.0,,,,,,,,738.0,,,,,,,,,,973.0,,1284.0,,814.0,,40.0,,53.0,,38.0,,49.0,,55.0,,49.0,,45.0,,49.0,,47.0
