0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1029.0,,973.0,,1225.0,,,,,,,,,,,,,,,,,,55.0,,,,781.0,,,,,,729.0,,485.0,,34.0,,403.0,,49.0,,42.0,,45.0,,41.0,,42.0,,401.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.0,,48.0,,34.0,,474.0,,41.0,,35.0,,38.0,,55.0,,39.0,,435.0
,,,779.0,,,,,,,,,,,,,,,,,,,,599.0,,816.0,,657.0,,,,,,713.0,,653.0,,420.0,,858.0,,55.0,,48.0,,40.0,,38.0,,48.0,,38.0,,43.0,,,,,,,,,,723.0,,,,,,,,,,,,,,678.0,,,,779.0,,50.0,,44.0,,,,39.0,,37.0,,43.0,,49.0,,38.0,,38.0
,,,819.0,,,,,,,,,,,,,,,,,,,,529.0,,,,,,,,,,54.0,,623.0,,52.0,,629.0,,35.0,,37.0,,48.0,,43.0,,41.0,,328.0,,496.0,,,,,,,,,,751.0,,,,,,,,,,,,,,634.0,,556.0,,537.0,,47.0,,37.0,,748.0,,43.0,,53.0,,37.0,,39.0,,38.0,,43.0
,,,904.0,,,,,,,,,,,,,,,,,,,,233.0,,,,,,,,,,74.0,,509.0,,49.0,,285.0,,41.0,,35.0,,54.0,,49.0,,48.0,,698.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,,556.0,,,,811.0,,296.0,,89.0,,,,37.0,,44.0,,41.0,,37.0,,496.0,,39.0
,,,851.0,,,,,,,,,,,,,,,,,,,,528.0,,,,,,,,,,438.0,,540.0,,46.0,,266.0,,36.0,,49.0,,55.0,,51.0,,44.0,,36.0,,50.0,,,,,,,,,,,,,,570.0,,,,,,,,,,,,690.0,,213.0,,42.0,,37.0,,,,40.0,,35.0,,36.0,,47.0,,311.0,,41.0
,,,,,,,,,,,,,,,,,,,,,,,472.0,,,,,,,,,,309.0,,,,447.0,,831.0,,39.0,,47.0,,34.0,,39.0,,44.0,,700.0,,38.0,,,,,,,,,,828.0,,,,663.0,,,,613.0,,,,,,804.0,,534.0,,752.0,,287.0,,247.0,,50.0,,48.0,,36.0,,50.0,,46.0,,36.0,,51.0
,,,738.0,,,,,,,,,,,,,,,,,,,,396.0,,733.0,,764.0,,,,,,732.0,,613.0,,53.0,,,,38.0,,42.0,,54.0,,40.0,,51.0,,48.0,,53.0,,,,,,,,,,,,,,,,,,,,,,,,736.0,,,,,,784.0,,282.0,,830.0,,35.0,,534.0,,47.0,,50.0,,468.0,,47.0
,,,821.0,,,,,,,,,,,,,,,,,,,,499.0,,855.0,,,,,,,,,,540.0,,71.0,,601.0,,55.0,,38.0,,39.0,,54.0,,47.0,,50.0,,444.0,,,,,,708.0,,,,,,,,,,,,664.0,,,,,,800.0,,,,,,512.0,,,,,,266.0,,54.0,,44.0,,34.0,,40.0,,44.0
,,,714.0,,1072.0,,,,,,,,,,,,,,,,,,35.0,,820.0,,,,,,,,,,594.0,,423.0,,501.0,,46.0,,47.0,,42.0,,53.0,,47.0,,52.0,,326.0,,,,,,,,,,,,,,,,,,,,,,,,695.0,,785.0,,592.0,,44.0,,369.0,,692.0,,468.0,,45.0,,38.0,,39.0,,52.0,,47.0
,1094.0,,865.0,,,,,,,,,,,,,,,,,,,,42.0,,734.0,,495.0,,,,,,289.0,,597.0,,36.0,,677.0,,53.0,,51.0,,39.0,,42.0,,53.0,,518.0,,50.0,,,,,,,,,,,,,,,,,,786.0,,,,710.0,,742.0,,,,,,693.0,,738.0,,,,556.0,,53.0,,55.0,,44.0,,48.0,,34.0
,,,948.0,,1079.0,,,,,,,,,,,,,,,,,,497.0,,,,,,,,,,497.0,,670.0,,50.0,,618.0,,42.0,,47.0,,54.0,,40.0,,49.0,,116.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,767.0,,731.0,,,,415.0,,660.0,,,,475.0,,41.0,,38.0,,36.0,,381.0,,45.0
,,,742.0,,,,,,920.0,,,,,,,,,,,,,,35.0,,,,558.0,,,,,,90.0,,686.0,,46.0,,630.0,,41.0,,48.0,,52.0,,35.0,,49.0,,51.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,,687.0,,790.0,,763.0,,65.0,,255.0,,39.0,,46.0,,41.0,,35.0,,53.0,,51.0,,39.0
,,,987.0,,1074.0,,,,826.0,,,,,,,,,,,,,,522.0,,,,,,,,,,590.0,,265.0,,348.0,,366.0,,38.0,,40.0,,43.0,,48.0,,43.0,,677.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,,664.0,,,,50.0,,53.0,,39.0,,765.0,,39.0,,44.0,,34.0,,53.0,,42.0,,38.0
