0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,941.0,,,,,,,,,,,,,,,,,,,,,,632.0,,,,628.0,,,,,,35.0,,676.0,,46.0,,492.0,,55.0,,52.0,,38.0,,51.0,,39.0,,603.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.0,,474.0,,808.0,,144.0,,38.0,,38.0,,36.0,,575.0,,35.0
,,,931.0,,,,,,,,,,,,,,,,,,,,645.0,,,,,,,,,,698.0,,877.0,,358.0,,787.0,,53.0,,41.0,,40.0,,42.0,,44.0,,611.0,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,867.0,,591.0,,427.0,,51.0,,,,41.0,,38.0,,40.0,,42.0,,765.0,,806.0
,,,,,,,,,1101.0,,,,,,,,,,,,,,,,,,,,,,,,804.0,,813.0,,302.0,,,,51.0,,48.0,,52.0,,45.0,,36.0,,582.0,,254.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,37.0,,49.0,,,,615.0,,44.0,,35.0,,51.0,,767.0,,517.0
,,,1088.0,,,,,,,,,,,,,,,,,,,,670.0,,,,,,,,,,,,854.0,,46.0,,660.0,,45.0,,49.0,,40.0,,38.0,,38.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.0,,320.0,,735.0,,45.0,,45.0,,43.0,,42.0,,742.0,,480.0
,,,1061.0,,1304.0,,,,,,,,,,,,,,,,,,804.0,,,,,,,,,,,,519.0,,39.0,,487.0,,38.0,,52.0,,52.0,,34.0,,50.0,,55.0,,567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789.0,,727.0,,,,499.0,,48.0,,54.0,,36.0,,46.0,,498.0
,,,,,,,,,,,,,,,,,,,,,,,630.0,,,,874.0,,,,,,42.0,,575.0,,34.0,,,,39.0,,48.0,,46.0,,39.0,,55.0,,729.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.0,,650.0,,34.0,,,,441.0,,441.0,,41.0,,45.0,,575.0,,37.0
,,,,,,,,,,,,,,,,,,,,,,,874.0,,,,,,,,,,,,676.0,,443.0,,45.0,,43.0,,45.0,,53.0,,43.0,,46.0,,437.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,763.0,,,,716.0,,650.0,,53.0,,,,44.0,,55.0,,52.0,,51.0,,46.0,,35.0
,,,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.0,,519.0,,,,47.0,,34.0,,40.0,,53.0,,50.0,,48.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,639.0,,,,758.0,,304.0,,38.0,,45.0,,643.0,,42.0
,,,,,,,,,,,,,,,,,,,,,,,750.0,,,,885.0,,,,,,501.0,,767.0,,42.0,,851.0,,36.0,,53.0,,54.0,,47.0,,35.0,,715.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,,623.0,,897.0,,251.0,,37.0,,37.0,,,,449.0,,45.0,,41.0,,39.0,,42.0,,44.0
,,,1055.0,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,227.0,,700.0,,47.0,,626.0,,47.0,,35.0,,50.0,,47.0,,40.0,,874.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,725.0,,535.0,,50.0,,,,49.0,,52.0,,34.0,,38.0,,44.0,,553.0
