0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1010.0,,655.0,,746.0,,,,862.0,,,,,,,,,,,,,,521.0,,848.0,,,,,,,,796.0,,542.0,,569.0,,750.0,,57.0,,52.0,,47.0,,60.0,,53.0,,,,801.0,,,,,,,,,,,,,,,,,,,,,,,,643.0,,747.0,,575.0,,62.0,,60.0,,,,57.0,,61.0,,47.0,,54.0,,55.0,,58.0
,,,698.0,,923.0,,,,,,,,,,,,,,,,,,48.0,,864.0,,,,,,,,43.0,,526.0,,45.0,,758.0,,48.0,,57.0,,52.0,,54.0,,47.0,,714.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,692.0,,823.0,,,,466.0,,423.0,,838.0,,39.0,,48.0,,57.0,,53.0,,38.0,,43.0
,,,618.0,,841.0,,,,,,,,,,,,,,,,,,49.0,,846.0,,,,,,855.0,,261.0,,492.0,,57.0,,81.0,,52.0,,50.0,,47.0,,51.0,,47.0,,638.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,,862.0,,848.0,,528.0,,40.0,,54.0,,,,682.0,,535.0,,335.0,,54.0,,782.0,,43.0
,,,617.0,,872.0,,,,913.0,,,,,,,,,,,,,,52.0,,741.0,,900.0,,,,,,37.0,,467.0,,54.0,,720.0,,56.0,,46.0,,56.0,,39.0,,47.0,,596.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,711.0,,818.0,,659.0,,49.0,,48.0,,571.0,,54.0,,47.0,,40.0,,52.0,,774.0,,591.0
,,,632.0,,799.0,,,,973.0,,,,,,,,,,,,,,246.0,,760.0,,833.0,,,,880.0,,707.0,,585.0,,335.0,,575.0,,41.0,,49.0,,52.0,,45.0,,56.0,,44.0,,528.0,,,,,,,,,,,,,,,,,,,,,,,,716.0,,781.0,,,,42.0,,55.0,,,,47.0,,55.0,,38.0,,44.0,,689.0,,674.0
,,,607.0,,943.0,,,,,,,,,,,,,,,,,,482.0,,762.0,,,,,,,,599.0,,513.0,,51.0,,634.0,,40.0,,54.0,,49.0,,37.0,,42.0,,662.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,669.0,,701.0,,570.0,,379.0,,281.0,,,,576.0,,352.0,,45.0,,50.0,,468.0,,46.0
,1120.0,,477.0,,980.0,,,,933.0,,,,,,,,,,,,,,455.0,,,,856.0,,,,,,264.0,,539.0,,37.0,,586.0,,52.0,,51.0,,37.0,,45.0,,37.0,,799.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,,717.0,,,,846.0,,255.0,,49.0,,891.0,,37.0,,49.0,,41.0,,48.0,,46.0,,650.0
,,,535.0,,973.0,,1067.0,,,,,,,,,,,,,,,,468.0,,,,877.0,,,,,,,,582.0,,126.0,,38.0,,45.0,,37.0,,49.0,,52.0,,424.0,,673.0,,580.0,,,,,,,,,,,,,,,,,,,,,,,,558.0,,,,858.0,,581.0,,735.0,,,,513.0,,356.0,,48.0,,37.0,,576.0,,538.0
,,,654.0,,800.0,,,,994.0,,,,,,,,,,,,,,412.0,,,,834.0,,,,,,685.0,,448.0,,45.0,,338.0,,45.0,,55.0,,39.0,,58.0,,48.0,,57.0,,46.0,,,,,,,,,,,,,,,,,,,,,,708.0,,663.0,,613.0,,628.0,,57.0,,447.0,,,,653.0,,457.0,,57.0,,55.0,,57.0,,41.0
,,,544.0,,755.0,,,,957.0,,,,,,,,,,,,,,315.0,,867.0,,,,,,,,781.0,,596.0,,213.0,,750.0,,472.0,,72.0,,500.0,,47.0,,568.0,,830.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,637.0,,863.0,,,,624.0,,52.0,,753.0,,56.0,,45.0,,39.0,,52.0,,46.0,,39.0
