0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4374.0,2138.0,4442.0,1002.0,4903.0,18932.0,4499.0,1958.0,3947.0,995.0,4411.0,4118.0,4377.0,0.0,3418.0,2.0,3618.0,2936.0,3778.0,0.0,2487.0,1698.0,4766.0,240.0,4580.0,1028.0,4478.0,1245.0,3753.0,1658.0,4528.0,1271.0,4771.0,50.0,4251.0,614.0,4769.0,57.0,3232.0,55.0,3435.0,40.0,3320.0,51.0,3116.0,47.0,3277.0,47.0,3620.0,42.0,3347.0,39.0,3294.0,58.0,3543.0,2778.0,3789.0,2720.0,4095.0,1404.0,3728.0,11025.0,2.0,1166.0,4336.0,2381.0,3651.0,1748.0,3747.0,3298.0,3326.0,1852.0,4233.0,6.0,5.0,1204.0,3669.0,767.0,3458.0,1059.0,3436.0,329.0,3285.0,44.0,3762.0,47.0,3291.0,46.0,3514.0,42.0,3260.0,45.0,3481.0,42.0,3164.0,44.0,3562.0,42.0,3716.0,52.0
4220.0,2206.0,4539.0,1023.0,4354.0,1776.0,4509.0,2093.0,3849.0,1286.0,4378.0,,3743.0,0.0,9.0,3584.0,1.0,1776.0,3464.0,19405.0,3095.0,1834.0,3813.0,47.0,3483.0,843.0,3559.0,1363.0,3774.0,1406.0,3463.0,1453.0,3602.0,56.0,3615.0,455.0,3997.0,51.0,3796.0,37.0,3515.0,54.0,3617.0,55.0,3481.0,55.0,3820.0,43.0,3702.0,54.0,3294.0,52.0,3377.0,53.0,3684.0,1360.0,3344.0,3756.0,3347.0,2873.0,3355.0,4923.0,3.0,1236.0,4155.0,3709.0,3477.0,2104.0,3502.0,2810.0,3868.0,2115.0,3623.0,4666.0,9.0,1460.0,3560.0,808.0,3462.0,789.0,3547.0,54.0,3302.0,509.0,3275.0,44.0,3083.0,677.0,4017.0,48.0,3279.0,40.0,3429.0,48.0,3320.0,55.0,3233.0,55.0,3264.0,54.0
4132.0,1556.0,4259.0,713.0,4245.0,919.0,4231.0,2137.0,4406.0,1382.0,3889.0,,4525.0,2.0,3211.0,3321.0,0.0,5052.0,3671.0,10.0,2723.0,1873.0,3716.0,657.0,4781.0,1064.0,4503.0,1886.0,4290.0,1074.0,4140.0,1505.0,4431.0,606.0,3443.0,481.0,4298.0,46.0,3275.0,41.0,3423.0,42.0,3255.0,54.0,2773.0,58.0,3292.0,45.0,3274.0,50.0,3810.0,54.0,3406.0,48.0,3994.0,1441.0,4390.0,2676.0,4349.0,1437.0,4140.0,4267.0,8.0,1547.0,4244.0,2605.0,3953.0,1475.0,4552.0,2250.0,3753.0,37.0,3686.0,7.0,3117.0,1247.0,3386.0,1045.0,3306.0,938.0,4004.0,54.0,3259.0,49.0,3017.0,42.0,3304.0,50.0,3241.0,42.0,3080.0,38.0,3023.0,56.0,3683.0,48.0,3322.0,37.0,3222.0,55.0
3736.0,1533.0,4536.0,751.0,4619.0,1457.0,4359.0,1873.0,4000.0,1228.0,4079.0,,3803.0,,2856.0,4.0,3561.0,1570.0,3254.0,19600.0,3648.0,2506.0,4132.0,45.0,3470.0,1216.0,4441.0,1713.0,3836.0,1425.0,3427.0,2756.0,4222.0,43.0,3811.0,577.0,3927.0,43.0,4275.0,37.0,3261.0,41.0,3623.0,46.0,3609.0,57.0,3766.0,55.0,4113.0,56.0,3873.0,37.0,3689.0,47.0,3905.0,1864.0,3776.0,2972.0,3419.0,2168.0,4358.0,10.0,3888.0,1344.0,4720.0,,3049.0,1486.0,3261.0,3150.0,3320.0,1258.0,3683.0,2.0,3249.0,1300.0,3366.0,1060.0,3296.0,810.0,4266.0,49.0,3675.0,39.0,3744.0,56.0,3422.0,51.0,3607.0,43.0,3502.0,45.0,3424.0,56.0,3814.0,55.0,4234.0,41.0,3924.0,56.0
4198.0,2312.0,4409.0,722.0,4889.0,1622.0,4553.0,2322.0,3749.0,950.0,4244.0,3769.0,4486.0,3846.0,3273.0,3169.0,3205.0,2082.0,3782.0,,4491.0,1610.0,3923.0,526.0,4226.0,1022.0,4038.0,1089.0,4040.0,1319.0,3757.0,1064.0,3725.0,1177.0,3563.0,631.0,3969.0,41.0,3080.0,37.0,3215.0,48.0,3141.0,45.0,3340.0,44.0,3487.0,58.0,2957.0,54.0,4101.0,57.0,3559.0,51.0,3627.0,1606.0,4466.0,2375.0,4280.0,1157.0,3783.0,9.0,0.0,1436.0,4276.0,6037.0,3591.0,1803.0,3155.0,2852.0,3519.0,2137.0,4162.0,,4070.0,1819.0,4472.0,781.0,3671.0,755.0,4362.0,527.0,3424.0,41.0,3700.0,56.0,3431.0,43.0,3454.0,46.0,3759.0,51.0,3593.0,54.0,3277.0,44.0,3799.0,644.0,3965.0,38.0
4264.0,1273.0,4500.0,831.0,4422.0,970.0,4675.0,1721.0,3991.0,1343.0,3942.0,4515.0,4118.0,3998.0,3739.0,2.0,3215.0,1953.0,3609.0,,3882.0,1554.0,3735.0,56.0,3912.0,979.0,4282.0,1347.0,3536.0,1304.0,4073.0,1366.0,4100.0,52.0,3574.0,663.0,3947.0,55.0,4619.0,58.0,3675.0,52.0,3653.0,50.0,3443.0,38.0,3976.0,45.0,3798.0,51.0,3794.0,44.0,4138.0,52.0,3296.0,1834.0,3387.0,2998.0,4736.0,1266.0,4211.0,10.0,10.0,58.0,4660.0,3427.0,3447.0,1633.0,4026.0,3760.0,3648.0,1809.0,3644.0,8.0,4.0,1369.0,4430.0,1039.0,4512.0,987.0,4845.0,55.0,4771.0,1131.0,4441.0,691.0,4238.0,56.0,4629.0,1556.0,5208.0,810.0,4304.0,49.0,3406.0,58.0,4263.0,45.0,4696.0,1958.0
4132.0,6708.0,4405.0,663.0,4324.0,946.0,4379.0,2077.0,3759.0,1323.0,4429.0,4107.0,4085.0,,2955.0,2992.0,3.0,1696.0,3820.0,21751.0,4306.0,1378.0,3785.0,651.0,4456.0,628.0,4705.0,1337.0,4133.0,1297.0,3909.0,1594.0,4611.0,825.0,3760.0,524.0,4963.0,46.0,3662.0,55.0,3184.0,56.0,3660.0,55.0,3562.0,42.0,3979.0,40.0,3625.0,44.0,3611.0,45.0,3311.0,42.0,2978.0,1734.0,4012.0,2596.0,4535.0,1147.0,3977.0,,4324.0,1380.0,3946.0,4564.0,3772.0,1846.0,4110.0,,3927.0,54.0,3516.0,4658.0,3454.0,1430.0,3329.0,1291.0,3976.0,962.0,4034.0,53.0,3616.0,37.0,3336.0,44.0,3735.0,45.0,3316.0,55.0,3809.0,53.0,3805.0,49.0,3805.0,49.0,3356.0,707.0,3569.0,37.0
4352.0,20840.0,4573.0,793.0,4456.0,1931.0,4550.0,1543.0,3169.0,980.0,4447.0,4535.0,4168.0,1.0,3000.0,8.0,8.0,1920.0,3020.0,0.0,15.0,1987.0,3661.0,500.0,3814.0,639.0,4022.0,1583.0,3426.0,912.0,3363.0,1341.0,3961.0,49.0,,626.0,4452.0,49.0,3762.0,960.0,3566.0,53.0,3041.0,62.0,3409.0,50.0,2976.0,47.0,3023.0,50.0,3030.0,53.0,3157.0,50.0,3099.0,1521.0,3458.0,4198.0,3354.0,1482.0,3896.0,9.0,12.0,559.0,,2245.0,4620.0,834.0,3808.0,1858.0,3330.0,2055.0,4431.0,9.0,19.0,1225.0,3594.0,609.0,4698.0,890.0,3709.0,50.0,3120.0,49.0,3069.0,58.0,3162.0,58.0,3195.0,66.0,3016.0,50.0,2954.0,61.0,3437.0,60.0,3415.0,64.0,3486.0,50.0
4132.0,1619.0,4310.0,944.0,4604.0,1066.0,4566.0,1482.0,4203.0,1382.0,3977.0,3869.0,3634.0,3.0,3103.0,2862.0,3144.0,2368.0,3354.0,1885.0,21365.0,2645.0,3318.0,722.0,4575.0,849.0,4359.0,1898.0,3198.0,1216.0,3890.0,1530.0,4255.0,647.0,3844.0,615.0,4493.0,43.0,3705.0,52.0,3515.0,49.0,3474.0,46.0,3413.0,46.0,3814.0,52.0,3886.0,378.0,3510.0,51.0,3431.0,48.0,3167.0,1220.0,3980.0,1882.0,3566.0,1833.0,3553.0,,3644.0,51.0,3968.0,2410.0,3804.0,2869.0,3880.0,,3783.0,1054.0,3693.0,3872.0,1.0,1326.0,3784.0,773.0,3138.0,1072.0,3771.0,52.0,3348.0,41.0,3937.0,58.0,3118.0,37.0,3439.0,51.0,3659.0,53.0,3347.0,43.0,3361.0,45.0,3757.0,56.0,3967.0,54.0
4484.0,2790.0,4511.0,730.0,4308.0,1055.0,4823.0,1737.0,3994.0,1209.0,3957.0,3643.0,3869.0,2.0,4.0,5.0,3011.0,2935.0,3397.0,9.0,2592.0,1955.0,3924.0,601.0,3895.0,918.0,4429.0,1555.0,3462.0,1196.0,3653.0,1775.0,4113.0,555.0,3541.0,620.0,3653.0,54.0,4052.0,37.0,3620.0,40.0,3487.0,57.0,3183.0,44.0,3932.0,40.0,3415.0,394.0,4288.0,44.0,3664.0,54.0,3756.0,2616.0,3345.0,,3994.0,1848.0,3703.0,4.0,8.0,1404.0,3826.0,2921.0,3429.0,1624.0,3330.0,2769.0,3705.0,1554.0,3929.0,,3370.0,1332.0,3578.0,767.0,3215.0,804.0,3790.0,39.0,3744.0,40.0,3605.0,43.0,4060.0,51.0,3590.0,43.0,3379.0,43.0,3155.0,51.0,3620.0,55.0,3554.0,46.0,3557.0,58.0
