0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,875.0,,,,1374.0,,,,,,,,,,,,,,,,,,1094.0,,,,,,,,,,1438.0,,,,1382.0,,,,909.0,,1749.0,,1155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760.0,,,,,,,,,,,,,,,,
,1713.0,,1016.0,,,,,,,,,,,,,,,,,,,,1130.0,,,,,,,,,,,,1313.0,,,,,,,,811.0,,,,941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598.0,,,,,,,,,,,,1311.0,,,,
,,,1360.0,,,,,,,,,,,,,,,,,,,,1112.0,,1740.0,,,,,,,,1804.0,,,,1441.0,,,,971.0,,1306.0,,1246.0,,1523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,988.0,,,,,,1093.0,,,,,,,,,,,,,,948.0,,,,,,,,,,,,,,,,,,1665.0,,874.0,,,,1370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1013.0,,,,,,1087.0,,,,,,,,,,,,,,1736.0,,1457.0,,,,,,,,1718.0,,,,1185.0,,,,1172.0,,893.0,,,,1213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1759.0,,1253.0,,1796.0,,,,1197.0,,,,,,,,,,,,,,969.0,,,,,,1411.0,,,,1699.0,,,,1147.0,,1588.0,,1027.0,,694.0,,1722.0,,887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1251.0,,,,,,1447.0,,,,,,,,,,,,,,961.0,,,,,,,,,,1687.0,,1488.0,,1378.0,,,,,,1078.0,,1429.0,,1482.0,,,,,,,,,,,,,,,,1750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,960.0,,,,,,1263.0,,,,,,,,,,,,,,1699.0,,1351.0,,,,,,,,,,,,,,,,1481.0,,,,,,1220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576.0,,,,,,,,,,,,,,,,1181.0,,,,,,
,1677.0,,1460.0,,1791.0,,,,1056.0,,,,,,,,,,,,,,1349.0,,,,,,1712.0,,,,1443.0,,,,,,,,913.0,,,,1664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1531.0,,1685.0,,,,,,,,,,,,,,,1821.0,,,1123.0,,,,,,,,,,,,,,,,,,1265.0,,1032.0,,1128.0,,1752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1747.0,,,,
,,,1286.0,,1561.0,,,,1086.0,,,,,,,,,,,,,,1397.0,,1540.0,,,,,,,,1423.0,,,,1483.0,,,,997.0,,1616.0,,1221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1091.0,,,,,,,,,,,,,,,,,,,,884.0,,,,,,,,,,,,,,1429.0,,,,1385.0,,1366.0,,807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1609.0,,1437.0,,,,,,,,,,,,,,,,,,1334.0,,,,,,,,,,,,1384.0,,,,,,,,626.0,,,,1203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1726.0,,1057.0,,1651.0,,,,1005.0,,,,,,,,,,,,,,1512.0,,,,,,,,,,,,1166.0,,1690.0,,,,1049.0,,1574.0,,1210.0,,927.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,1152.0,,,,,,1307.0,,,,,,,,,,,,,,,,
,1705.0,,1659.0,,1458.0,,,,,,,,,,,,,,,,,,1186.0,,1521.0,,,,,,,,,,1591.0,,,,,,1593.0,,895.0,,,,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364.0,,,,,,
