0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1054.0,,622.0,,932.0,,1572.0,,1027.0,,,,,,,,,,,,1459.0,,573.0,,868.0,,1393.0,,1364.0,,1130.0,,991.0,,578.0,,800.0,,1102.0,,451.0,,308.0,,565.0,,492.0,,1005.0,,1432.0,,1053.0,,,,,,1252.0,,,,1048.0,,,,1439.0,,,,1548.0,,,,1122.0,,722.0,,798.0,,1019.0,,695.0,,818.0,,,,916.0,,1032.0,,731.0,,648.0,,1266.0,,1359.0
,1213.0,,536.0,,809.0,,1598.0,,948.0,,,,,,,,,,,,1353.0,,520.0,,995.0,,1146.0,,1225.0,,1264.0,,987.0,,609.0,,649.0,,1090.0,,502.0,,342.0,,478.0,,506.0,,780.0,,1333.0,,1373.0,,,,,,1457.0,,,,1214.0,,3.0,,1154.0,,,,1588.0,,,,1164.0,,758.0,,766.0,,922.0,,687.0,,943.0,,,,1159.0,,876.0,,618.0,,575.0,,1160.0,,1475.0
,1460.0,,572.0,,875.0,,1435.0,,1033.0,,,,,,,,,,,,,,480.0,,891.0,,1216.0,,1216.0,,1238.0,,950.0,,591.0,,672.0,,1018.0,,378.0,,396.0,,502.0,,378.0,,805.0,,1341.0,,1025.0,,,,,,1058.0,,,,1381.0,,,,1335.0,,,,1448.0,,,,1249.0,,811.0,,948.0,,1058.0,,729.0,,1001.0,,,,1066.0,,941.0,,578.0,,770.0,,1399.0,,1206.0
,1466.0,,541.0,,842.0,,1581.0,,1135.0,,,,,,,,,,,,,,497.0,,926.0,,1273.0,,1202.0,,1306.0,,984.0,,567.0,,567.0,,875.0,,493.0,,334.0,,483.0,,454.0,,973.0,,1589.0,,1489.0,,,,,,1302.0,,,,1130.0,,,,1320.0,,,,,,,,1112.0,,789.0,,797.0,,1158.0,,923.0,,1074.0,,,,1204.0,,950.0,,580.0,,569.0,,1357.0,,1090.0
,1503.0,,553.0,,734.0,,1598.0,,1100.0,,,,,,,,,,,,1409.0,,437.0,,1049.0,,1098.0,,1423.0,,1168.0,,1105.0,,551.0,,614.0,,881.0,,357.0,,339.0,,480.0,,484.0,,846.0,,1318.0,,1000.0,,1515.0,,,,1114.0,,,,1388.0,,,,1458.0,,,,,,,,987.0,,753.0,,821.0,,951.0,,706.0,,836.0,,,,969.0,,986.0,,545.0,,629.0,,1097.0,,1384.0
,1532.0,,566.0,,902.0,,1446.0,,975.0,,,,,,,,,,,,,,579.0,,943.0,,1002.0,,1327.0,,1171.0,,1201.0,,569.0,,703.0,,836.0,,338.0,,327.0,,406.0,,393.0,,785.0,,1406.0,,1237.0,,1570.0,,,,1365.0,,,,1315.0,,,,1311.0,,,,1500.0,,,,1202.0,,732.0,,842.0,,859.0,,505.0,,1014.0,,,,1135.0,,1028.0,,544.0,,573.0,,1524.0,,1202.0
,1303.0,,781.0,,777.0,,1431.0,,1061.0,,,,,,,,,,,1517.0,,,421.0,,658.0,,1028.0,,1117.0,,1488.0,,917.0,,735.0,,650.0,,923.0,,452.0,,381.0,,332.0,,469.0,,867.0,,1194.0,,1238.0,,1481.0,,,,1294.0,,,,1210.0,,,,1173.0,,,,1492.0,,,,1162.0,,769.0,,758.0,,1066.0,,622.0,,989.0,,1551.0,,1038.0,,863.0,,784.0,,905.0,,1461.0,,1084.0
,1241.0,,534.0,,883.0,,,,958.0,,,,,,,,,,,,,,480.0,,843.0,,997.0,,1188.0,,1508.0,,1339.0,,589.0,,575.0,,1000.0,,354.0,,295.0,,472.0,,481.0,,883.0,,,,1268.0,,,,,,1299.0,,,,1183.0,,7.0,,1352.0,,,,1511.0,,,,954.0,,802.0,,880.0,,981.0,,575.0,,811.0,,,,1241.0,,836.0,,565.0,,750.0,,1155.0,,1476.0
,1526.0,,703.0,,896.0,,1293.0,,1009.0,,,,,,,,,,,,,,466.0,,782.0,,1313.0,,1346.0,,1245.0,,999.0,,641.0,,592.0,,909.0,,474.0,,242.0,,432.0,,404.0,,980.0,,1205.0,,1159.0,,,,,,1345.0,,,,1338.0,,,,1524.0,,,,1497.0,,,,1410.0,,803.0,,867.0,,935.0,,697.0,,812.0,,,,1232.0,,944.0,,638.0,,655.0,,1480.0,,1258.0
,1236.0,,487.0,,753.0,,1488.0,,1105.0,,,,,,,,,,,,,,582.0,,1129.0,,1162.0,,1474.0,,1427.0,,963.0,,646.0,,608.0,,1023.0,,466.0,,302.0,,572.0,,412.0,,939.0,,1239.0,,1091.0,,1371.0,,,,1102.0,,,,1077.0,,,,1298.0,,,,,,,,930.0,,773.0,,836.0,,928.0,,765.0,,996.0,,,,944.0,,877.0,,602.0,,583.0,,1147.0,,1209.0
,,,601.0,,760.0,,1368.0,,1061.0,,,,,,,,,,,1584.0,,,486.0,,854.0,,1192.0,,1488.0,,1312.0,,998.0,,635.0,,563.0,,825.0,,386.0,,314.0,,543.0,,406.0,,899.0,,1460.0,,1163.0,,,,,,1075.0,,,,1041.0,,,,1329.0,,,,1543.0,,,,971.0,,959.0,,837.0,,1116.0,,729.0,,791.0,,1560.0,,1151.0,,917.0,,666.0,,598.0,,1234.0,,1413.0
,,,743.0,,908.0,,1448.0,,1231.0,,,,,,,,,,,,,,447.0,,864.0,,1181.0,,1325.0,,1146.0,,943.0,,583.0,,642.0,,988.0,,358.0,,434.0,,609.0,,466.0,,1013.0,,1380.0,,1055.0,,,,,,1117.0,,,,1007.0,,,,1235.0,,,,,,,,1158.0,,725.0,,877.0,,1099.0,,763.0,,918.0,,1590.0,,986.0,,1043.0,,589.0,,641.0,,1379.0,,1211.0
,1291.0,,575.0,,832.0,,1184.0,,994.0,,,,,,,,,,,,,,517.0,,962.0,,1259.0,,1513.0,,1228.0,,1007.0,,553.0,,768.0,,1080.0,,483.0,,295.0,,560.0,,390.0,,889.0,,1385.0,,958.0,,1449.0,,,,1347.0,,,,1093.0,,,,1456.0,,,,1551.0,,,,1058.0,,685.0,,976.0,,1076.0,,792.0,,904.0,,,,1175.0,,681.0,,704.0,,658.0,,1318.0,,1380.0
,1451.0,,566.0,,1036.0,,1487.0,,973.0,,,,,,,,,,,,,,436.0,,791.0,,1144.0,,1506.0,,1433.0,,1001.0,,650.0,,505.0,,1013.0,,415.0,,207.0,,576.0,,380.0,,820.0,,1585.0,,1125.0,,,,,,1369.0,,,,1048.0,,,,1411.0,,,,,,,,1117.0,,624.0,,793.0,,854.0,,682.0,,1098.0,,1364.0,,1174.0,,905.0,,664.0,,711.0,,,,1198.0
,1162.0,,671.0,,757.0,,,,962.0,,,,,,,,,,,,,,524.0,,860.0,,1359.0,,1536.0,,1337.0,,1001.0,,550.0,,385.0,,904.0,,485.0,,395.0,,630.0,,450.0,,966.0,,1509.0,,1288.0,,1532.0,,,,1264.0,,,,1439.0,,,,1478.0,,,,,,,,1082.0,,867.0,,808.0,,947.0,,673.0,,916.0,,,,1199.0,,769.0,,555.0,,697.0,,1459.0,,1186.0
