0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4352.0,1319.0,4648.0,943.0,4446.0,1245.0,4703.0,63474.0,4408.0,1415.0,4793.0,48138.0,4579.0,56958.0,11964.0,8.0,20393.0,1845.0,4530.0,44132.0,22129.0,1537.0,4535.0,591.0,4927.0,987.0,4310.0,1296.0,4554.0,1619.0,4253.0,1912.0,4997.0,1065.0,4595.0,538.0,4322.0,807.0,4621.0,1388.0,4937.0,390.0,4685.0,383.0,4301.0,603.0,4362.0,420.0,4865.0,949.0,4706.0,47648.0,4574.0,1554.0,4198.0,2571.0,4596.0,46828.0,4574.0,2552.0,4130.0,4.0,5.0,1890.0,4454.0,4366.0,4392.0,1414.0,4843.0,2694.0,4962.0,2323.0,4846.0,,4222.0,1137.0,4751.0,791.0,4444.0,1025.0,4247.0,1487.0,4591.0,775.0,4210.0,1082.0,4410.0,1826.0,4518.0,2548.0,4449.0,892.0,4673.0,977.0,4242.0,927.0,4435.0,1901.0,5133.0,4010.0
4220.0,49897.0,4285.0,718.0,4752.0,850.0,4448.0,,4365.0,1022.0,4192.0,6133.0,4441.0,,7331.0,5.0,14292.0,2842.0,4456.0,9.0,26260.0,42148.0,4618.0,846.0,4526.0,2229.0,4380.0,1858.0,4254.0,1895.0,4411.0,1844.0,4925.0,1289.0,4646.0,710.0,4432.0,970.0,4311.0,1565.0,4433.0,491.0,4656.0,431.0,4553.0,629.0,4421.0,602.0,4501.0,852.0,4117.0,2338.0,4559.0,1354.0,4720.0,10118.0,4349.0,,4602.0,1676.0,5272.0,8.0,4459.0,1309.0,4408.0,,4522.0,2059.0,4787.0,,4578.0,2262.0,4549.0,,4291.0,1322.0,4240.0,1076.0,4631.0,2260.0,5016.0,1205.0,4859.0,1055.0,4867.0,1294.0,4637.0,48545.0,4533.0,1629.0,4647.0,1051.0,4445.0,820.0,5067.0,789.0,4669.0,1509.0,4507.0,1631.0
4330.0,1556.0,4251.0,733.0,4611.0,1362.0,4483.0,1679.0,4468.0,1248.0,4531.0,,4813.0,,6268.0,53364.0,13984.0,61549.0,4491.0,42143.0,1.0,1537.0,4359.0,771.0,4602.0,1182.0,4340.0,2379.0,4463.0,1549.0,4633.0,2116.0,4802.0,1119.0,4734.0,602.0,4638.0,922.0,4726.0,1570.0,4268.0,503.0,4402.0,331.0,4691.0,846.0,4590.0,589.0,4827.0,1215.0,4456.0,1498.0,4327.0,1554.0,4353.0,,4606.0,63927.0,4499.0,1494.0,4317.0,,5587.0,48232.0,4366.0,58602.0,4517.0,1590.0,4284.0,55267.0,4370.0,1877.0,4554.0,,12258.0,1454.0,4343.0,812.0,4365.0,1413.0,4607.0,1187.0,4200.0,908.0,4595.0,1154.0,4690.0,1999.0,4590.0,1271.0,4116.0,947.0,4553.0,796.0,4797.0,1274.0,4738.0,1381.0,4511.0,1659.0
4154.0,1332.0,4540.0,855.0,4711.0,1307.0,4356.0,,4532.0,1112.0,4527.0,,4772.0,4.0,3.0,59082.0,9983.0,,4508.0,7.0,14496.0,45833.0,4262.0,565.0,4412.0,949.0,4315.0,1415.0,4611.0,3023.0,4431.0,61074.0,4519.0,1351.0,4348.0,889.0,4473.0,708.0,4221.0,1281.0,4647.0,410.0,4772.0,408.0,4618.0,716.0,4629.0,616.0,4676.0,1033.0,4597.0,4736.0,5285.0,1582.0,4606.0,1526.0,4581.0,,4328.0,1685.0,4753.0,,4594.0,1411.0,4513.0,,4564.0,9172.0,4126.0,,4524.0,,4771.0,10.0,4630.0,1163.0,4784.0,783.0,4270.0,971.0,4379.0,1203.0,4099.0,973.0,4184.0,1094.0,4540.0,,5052.0,1694.0,4495.0,1170.0,4322.0,834.0,4223.0,772.0,4443.0,1918.0,4413.0,2540.0
4088.0,2516.0,4439.0,822.0,4627.0,2898.0,4571.0,45662.0,4585.0,1497.0,4383.0,48056.0,4502.0,10.0,5213.0,5.0,4730.0,3706.0,4234.0,44696.0,17992.0,3082.0,4122.0,765.0,4611.0,1308.0,4305.0,1890.0,4296.0,54626.0,4438.0,49546.0,4393.0,1492.0,4642.0,921.0,4516.0,730.0,4828.0,924.0,4153.0,490.0,4419.0,480.0,4097.0,609.0,4639.0,561.0,4471.0,1279.0,5676.0,2925.0,4709.0,1797.0,4577.0,53399.0,4378.0,56901.0,4925.0,1935.0,4605.0,4.0,4500.0,2593.0,4500.0,,4607.0,1524.0,4655.0,,4292.0,2361.0,4537.0,,4043.0,1367.0,4402.0,1439.0,4646.0,1734.0,4647.0,50038.0,4627.0,790.0,4165.0,1261.0,4827.0,,4573.0,3567.0,10323.0,1299.0,4320.0,957.0,4659.0,1032.0,4531.0,2085.0,4413.0,50255.0
4374.0,1404.0,4338.0,628.0,4179.0,1151.0,4490.0,,4367.0,1279.0,4541.0,,4496.0,3.0,4636.0,3.0,19442.0,,4400.0,8.0,9898.0,2356.0,4438.0,545.0,4538.0,1091.0,4732.0,1615.0,4480.0,1637.0,4095.0,51110.0,4632.0,1163.0,4972.0,622.0,4745.0,882.0,4320.0,1038.0,4461.0,559.0,4531.0,372.0,4370.0,577.0,4140.0,503.0,4856.0,861.0,4246.0,56906.0,4603.0,1772.0,4681.0,13099.0,4364.0,50387.0,4668.0,1847.0,4415.0,2.0,4591.0,1924.0,4236.0,,4703.0,2780.0,4461.0,63162.0,4561.0,2216.0,4273.0,,4807.0,1282.0,21232.0,1071.0,4581.0,1201.0,4477.0,1831.0,4401.0,1038.0,4757.0,951.0,4428.0,,4261.0,1120.0,4907.0,1006.0,4063.0,724.0,4635.0,916.0,4773.0,2727.0,4313.0,1408.0
3846.0,2381.0,4619.0,877.0,4343.0,1353.0,4634.0,2271.0,4482.0,2040.0,4639.0,59843.0,4095.0,56754.0,8.0,10.0,21045.0,3765.0,4199.0,2.0,8.0,2290.0,4071.0,822.0,4300.0,989.0,4226.0,1433.0,4390.0,2446.0,4415.0,1582.0,4445.0,1071.0,4803.0,972.0,4514.0,598.0,4322.0,992.0,4333.0,648.0,4253.0,457.0,4447.0,564.0,4499.0,501.0,4206.0,1091.0,4509.0,53429.0,4536.0,2043.0,4683.0,2478.0,4636.0,,4021.0,1972.0,4399.0,,4727.0,1184.0,4545.0,60775.0,4364.0,62097.0,4461.0,,4429.0,57808.0,4442.0,9.0,4361.0,1315.0,4676.0,786.0,3985.0,1602.0,4296.0,1073.0,4517.0,1341.0,4575.0,1059.0,4325.0,47861.0,4359.0,1567.0,4701.0,988.0,4394.0,1028.0,4539.0,677.0,4624.0,1563.0,4794.0,3037.0
4066.0,2274.0,4767.0,662.0,4322.0,1062.0,4462.0,1973.0,4500.0,1209.0,5782.0,,4352.0,,14215.0,56090.0,17993.0,40939.0,4693.0,46920.0,16271.0,1504.0,4345.0,571.0,4805.0,1172.0,4714.0,55026.0,4608.0,1536.0,4465.0,1783.0,4535.0,1466.0,4478.0,661.0,4486.0,658.0,4154.0,1187.0,4565.0,492.0,4121.0,359.0,4433.0,645.0,4304.0,491.0,4656.0,1193.0,4492.0,2318.0,4180.0,55456.0,4720.0,,4472.0,2750.0,4380.0,1471.0,4272.0,3.0,4304.0,1294.0,4225.0,4911.0,4652.0,2214.0,4408.0,3595.0,4083.0,2422.0,4477.0,,4039.0,46638.0,4742.0,1113.0,4646.0,1410.0,4549.0,949.0,4287.0,788.0,4672.0,987.0,4675.0,46086.0,5221.0,1308.0,4604.0,1332.0,4098.0,876.0,4407.0,818.0,4395.0,4022.0,4442.0,42923.0
4418.0,1883.0,4948.0,783.0,4407.0,1217.0,4420.0,,4244.0,1279.0,4682.0,57214.0,4520.0,60011.0,7.0,55673.0,12978.0,1860.0,4530.0,6.0,7.0,38294.0,4408.0,509.0,4453.0,1679.0,4408.0,2004.0,4854.0,1300.0,4807.0,1890.0,4593.0,2155.0,4210.0,891.0,4114.0,883.0,4621.0,40525.0,4584.0,468.0,3942.0,395.0,4446.0,584.0,4628.0,626.0,4124.0,992.0,4717.0,2629.0,4885.0,6705.0,4344.0,2969.0,4489.0,,4086.0,59443.0,4770.0,8.0,4787.0,1547.0,4584.0,4799.0,4682.0,1888.0,4390.0,,4115.0,2039.0,4758.0,8.0,4744.0,1515.0,4312.0,838.0,4512.0,1048.0,4425.0,960.0,4748.0,811.0,4608.0,1207.0,4573.0,,4518.0,1512.0,4372.0,946.0,4821.0,851.0,4456.0,722.0,4505.0,2073.0,4563.0,1770.0
3912.0,1888.0,4460.0,961.0,4423.0,1037.0,4607.0,2969.0,4323.0,1272.0,4710.0,4184.0,4673.0,4.0,8660.0,61636.0,2.0,54730.0,4683.0,8.0,10.0,2272.0,4142.0,631.0,4526.0,1138.0,4617.0,1720.0,4913.0,53481.0,4875.0,1586.0,4250.0,1146.0,4590.0,853.0,4351.0,811.0,4349.0,1406.0,11495.0,463.0,4509.0,202.0,5006.0,558.0,4682.0,584.0,4626.0,1018.0,4250.0,60822.0,4578.0,2921.0,4358.0,2051.0,4325.0,2016.0,4373.0,1529.0,4421.0,0.0,0.0,50015.0,4739.0,,4774.0,1680.0,4331.0,2407.0,4420.0,64890.0,4319.0,7.0,4431.0,1485.0,4640.0,1807.0,4255.0,1011.0,4824.0,1816.0,4965.0,1266.0,4894.0,1600.0,4633.0,1827.0,4430.0,1607.0,4524.0,1130.0,4770.0,839.0,4507.0,694.0,4880.0,,4554.0,1398.0
