0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4374.0,6026.0,,,,36.0,,,,,,36.0,,,,,,48.0,,,,,,31.0,,,,35.0,,43.0,,,,37.0,,,,32.0,,,,47.0,,,,50.0,,,,45.0,,,,31.0,,42.0,,5.0,,,,,,,,6.0,,47.0,,,,,,,,36.0,,,,32.0,,,,46.0,,,,1.0,,,,45.0,,,,39.0,,,,49.0
4198.0,7033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4066.0,6791.0,,,,31.0,,,,,,34.0,,,,,,44.0,,,,,,31.0,,,,48.0,,45.0,,,,37.0,,,,44.0,,,,49.0,,,,47.0,,,,43.0,,,,38.0,,41.0,,1.0,,,,,,,,34.0,,41.0,,,,,,,,49.0,,,,49.0,,,,47.0,,,,39.0,,,,39.0,,,,44.0,,,,43.0
4132.0,6587.0,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,47.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396.0,6599.0,,,,46.0,,,,,,7.0,,,,,,39.0,,,,,,34.0,,,,52.0,,44.0,,,,50.0,,,,49.0,,,,44.0,,,,46.0,,,,39.0,,,,35.0,,36.0,,37.0,,,,,,,,6.0,,49.0,,,,,,,,39.0,,,,41.0,,,,43.0,,,,2.0,,,,51.0,,,,41.0,,,,50.0
4286.0,6803.0,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4176.0,6620.0,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,51.0,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,
4066.0,6787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4066.0,7123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000.0,7387.0,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,
