0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4022.0,6716.0,,,,7443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4022.0,7331.0,,5235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,
4198.0,7711.0,,2291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,34.0,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,9.0,,,,,,42.0,,,,,,
4110.0,8647.0,,3133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,
4110.0,8765.0,,1770.0,,,,,,44.0,,,,,,,,,,,,37.0,,,,41.0,,,,,,48.0,,,,36.0,,,,36.0,,,,50.0,,,,39.0,,,,,,,,,,,,32.0,,,,49.0,,,,,,,,,,,,,,39.0,,,,31.0,,,,42.0,,,,45.0,,,,39.0,,,,,,
4220.0,8594.0,,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4220.0,7922.0,,4155.0,,6191.0,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,45.0,,,,,,,,37.0,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,41.0,,7.0,,,,,,39.0,,,,,,
4506.0,7633.0,,1682.0,,,,,,37.0,,,,,,,,,,,,37.0,,,,47.0,,,,,,41.0,,,,49.0,,,,41.0,,,,41.0,,,,39.0,,,,,,,,,,,,37.0,,,,35.0,,,,,,,,,,,,,,45.0,,,,45.0,,,,47.0,,0.0,,46.0,,,,39.0,,,,,,
4440.0,8732.0,,1603.0,,,,47.0,,32.0,,,,,,,,,,,,42.0,,,,40.0,,,,,,44.0,,,,49.0,,,,50.0,,,,36.0,,,,44.0,,,,39.0,,,,,,,,49.0,,,,48.0,,,,,,10.0,,39.0,,,,,,37.0,,,,39.0,,,,45.0,,,,47.0,,,,43.0,,,,44.0,,
4176.0,7823.0,,2231.0,,,,,,42.0,,,,,,,,,,,,41.0,,,,50.0,,,,,,37.0,,,,49.0,,,,44.0,,,,51.0,,,,35.0,,,,,,,,,,,,41.0,,,,39.0,,,,,,,,,,,,,,39.0,,,,45.0,,,,31.0,,10.0,,51.0,,,,45.0,,,,,,
4088.0,8581.0,,2359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,43.0,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,
4374.0,8848.0,,1893.0,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,35.0,,,,,,,,34.0,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,40.0,,,,,,,,37.0,,,,,,
4638.0,7523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4220.0,9438.0,,2386.0,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,48.0,,,,,,,,48.0,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,44.0,,2.0,,,,,,44.0,,,,,,
4242.0,8339.0,,2577.0,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,44.0,,,,31.0,,,,48.0,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,41.0,,,,39.0,,,,,,,,35.0,,,,,,
3846.0,8548.0,,2272.0,,,,,,41.0,,,,,,,,,,,,35.0,,,,48.0,,,,,,46.0,,,,44.0,,,,32.0,,,,32.0,,,,52.0,,,,,,,,,,,,42.0,,,,36.0,,,,,,,,,,,,,,51.0,,,,34.0,,,,47.0,,10.0,,33.0,,,,47.0,,,,,,
