0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,38.0,,36.0,4.0,,,,,,,,37.0,,,,,,,40.0,,,629.0,3.0,39.0,7.0,43.0,34.0,,38.0,6.0,42.0,33.0,1.0,37.0,5.0,41.0,9.0,,,,,,,,,,,,,,,139.0,,,,,50.0,41.0,,,,,,,,,,831.0,,,,,,,636.0,33.0,1.0,37.0,5.0,41.0,9.0,0.0,36.0,4.0,40.0,8.0,44.0,35.0,3.0,39.0,7.0,43.0,34.0,2.0,38.0,6.0,42.0,
,,38.0,,36.0,4.0,,,,,,,,37.0,,,,38.0,,,,,,896.0,1.0,34.0,0.0,33.0,43.0,,42.0,8.0,41.0,7.0,40.0,6.0,39.0,5.0,38.0,4.0,37.0,3.0,36.0,2.0,35.0,1.0,34.0,0.0,33.0,43.0,9.0,210.0,,41.0,,,,,5.0,,,,,36.0,,,,,,789.0,43.0,,,,,,649.0,6.0,39.0,5.0,38.0,4.0,37.0,3.0,36.0,2.0,35.0,1.0,34.0,0.0,33.0,43.0,9.0,40.0,6.0,39.0,5.0,38.0,,
,,38.0,,36.0,4.0,,,,,,,,37.0,,,,,,,40.0,,,,3.0,39.0,7.0,43.0,34.0,,38.0,6.0,42.0,561.0,1.0,,,,,,,,,,,,,,,,,,,799.0,,,,,5.0,41.0,846.0,,,,,,,,,589.0,,,34.0,,,,504.0,33.0,1.0,37.0,5.0,41.0,9.0,0.0,36.0,4.0,40.0,8.0,44.0,35.0,3.0,39.0,7.0,43.0,34.0,2.0,38.0,6.0,42.0,
,,38.0,,36.0,4.0,,,,,,,907.0,35.0,,,,33.0,,,42.0,,,366.0,40.0,6.0,39.0,5.0,38.0,,37.0,3.0,36.0,2.0,35.0,1.0,34.0,0.0,,,,42.0,8.0,41.0,7.0,,,,,,,,,204.0,46.0,,,34.0,0.0,33.0,,,,,,,,,,322.0,38.0,,,,,,224.0,1.0,34.0,0.0,33.0,43.0,9.0,42.0,8.0,41.0,7.0,40.0,6.0,39.0,5.0,38.0,4.0,37.0,3.0,36.0,2.0,35.0,,
,,38.0,,36.0,4.0,,,,,,,,37.0,,,,,,,,,,,84.0,8.0,44.0,35.0,3.0,39.0,7.0,43.0,34.0,2.0,,,,,,,,,,,,,,,,,,,,527.0,,,,,42.0,33.0,,,,41.0,,,,,,603.0,44.0,,,,,,738.0,2.0,38.0,6.0,42.0,33.0,1.0,37.0,5.0,41.0,9.0,0.0,36.0,4.0,40.0,8.0,44.0,35.0,3.0,39.0,7.0,65.0,,
,,38.0,,36.0,4.0,,,,,,,838.0,37.0,,,,,,,40.0,,,431.0,3.0,39.0,7.0,43.0,34.0,,38.0,6.0,42.0,,,,,,,,,,,,,,,,,,,,,161.0,,,,,,41.0,,,,907.0,,,,,,347.0,,,,,,,636.0,33.0,1.0,37.0,5.0,63.0,6.0,64.0,7.0,65.0,34.0,2.0,37.0,3.0,38.0,4.0,62.0,5.0,63.0,6.0,42.0,33.0,,
,,38.0,,36.0,4.0,,,,,,,,37.0,,,,,,,40.0,,,739.0,3.0,39.0,7.0,43.0,34.0,,38.0,6.0,42.0,,,,,,,,,,40.0,8.0,,,,,,,,,38.0,447.0,,,,,,41.0,,,,,,,,,,457.0,,,,,,,592.0,33.0,1.0,37.0,5.0,41.0,9.0,0.0,36.0,4.0,40.0,8.0,44.0,35.0,3.0,39.0,7.0,43.0,34.0,2.0,38.0,6.0,42.0,
,,38.0,,36.0,4.0,,,,,,,,37.0,,,,,,,40.0,,,,3.0,39.0,7.0,43.0,34.0,,38.0,6.0,42.0,33.0,1.0,37.0,5.0,41.0,9.0,0.0,,,,,,,,,,,,,,227.0,,,,,,41.0,,,,841.0,,,,,,941.0,,,,,,,702.0,33.0,1.0,37.0,5.0,41.0,9.0,0.0,36.0,4.0,40.0,8.0,44.0,35.0,3.0,39.0,7.0,43.0,34.0,2.0,38.0,6.0,42.0,
,,38.0,,36.0,4.0,,,,,,,882.0,37.0,,,,,,,,,,695.0,3.0,39.0,7.0,43.0,34.0,,38.0,6.0,42.0,253.0,1.0,37.0,5.0,,,,,,,,,,,,,,,,,73.0,42.0,,,,5.0,41.0,,,,,,,,,,479.0,,,,,,,636.0,33.0,1.0,37.0,5.0,41.0,9.0,0.0,36.0,4.0,40.0,8.0,44.0,35.0,3.0,39.0,7.0,43.0,34.0,2.0,38.0,6.0,42.0,
,,38.0,,36.0,4.0,,,,,,,948.0,37.0,,,,,,,40.0,,,981.0,3.0,39.0,7.0,43.0,34.0,,38.0,6.0,42.0,33.0,1.0,35.0,1.0,,,,,,,,,,,,,,,,,215.0,,,,,,338.0,,,,42.0,,,,,,291.0,,,,,,,382.0,35.0,1.0,34.0,0.0,33.0,43.0,9.0,42.0,8.0,41.0,7.0,40.0,6.0,39.0,5.0,38.0,4.0,37.0,3.0,36.0,2.0,35.0,
