0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,626.0,174.0,,40.0,,38.0,6.0,36.0,,34.0,,,,,,,,,,,,,2.0,38.0,,,,,,5.0,,,,36.0,,40.0,,,,,,,,,,,381.0,,,1.0,,,,9.0,0.0,36.0,,,,44.0,,,39.0,,,,,,,,,,,,,,,,,40.0,,44.0,,3.0,,,,,,,,
,,,,,,,,,,,40.0,,38.0,6.0,36.0,,34.0,,,,,,,,,,,,,2.0,38.0,,,,,,5.0,,,0.0,36.0,,40.0,,,,,,7.0,,,,,6.0,,,1.0,,,41.0,9.0,0.0,36.0,,,,44.0,,,39.0,,,,,,,,,,37.0,,41.0,,,36.0,4.0,40.0,,44.0,,,,,,,,,,
,,,,,,,,32.0,0.0,,40.0,,38.0,6.0,36.0,,34.0,,,,,,,,,,,,,839.0,962.0,,,,,,5.0,,,,36.0,,40.0,,,,,,,,,,,667.0,,,1.0,,,,9.0,0.0,36.0,,,,44.0,,,39.0,,,,,,,,,,37.0,,41.0,,,,4.0,40.0,,,,,,7.0,,,,,,
,,,,,,,,538.0,724.0,,40.0,,38.0,6.0,36.0,,34.0,,,,,,,,,,,,,2.0,38.0,,,33.0,,,5.0,,,,36.0,,,,,,,,7.0,,,,,205.0,,,1.0,,,41.0,9.0,0.0,36.0,,,,,,,39.0,,,,,,,,,,37.0,,41.0,,,36.0,4.0,40.0,,44.0,,,,,,430.0,,,,
,,,,,,,,340.0,86.0,,40.0,,38.0,6.0,36.0,4.0,34.0,,,,,,,,,,,,,2.0,38.0,,,,,,5.0,,,,36.0,,40.0,,,,,,,,,,,227.0,,,1.0,,,41.0,9.0,0.0,36.0,,,,,,,39.0,,,,,,,,,,37.0,,41.0,,,36.0,4.0,40.0,,44.0,,,,,,,,,,
,,,,,,,,230.0,372.0,,40.0,,38.0,6.0,36.0,,34.0,,,,,,,,,,,,,289.0,,,,,,,5.0,,,,36.0,,40.0,,,,,,7.0,,,,,205.0,,,1.0,,,,9.0,0.0,36.0,,,,44.0,,,39.0,,,,,,,,,,279.0,,41.0,,,,4.0,40.0,,44.0,,,,,,,,,,
,,,,,,,,,,,40.0,,38.0,6.0,36.0,4.0,34.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,40.0,,,,,,,,,,,6.0,,,1.0,,,723.0,9.0,0.0,36.0,,,,44.0,,,39.0,,,,,,,,,,37.0,,41.0,,,36.0,4.0,40.0,,44.0,,,,7.0,,,,,,
,,,,,,,,,,,40.0,,38.0,6.0,36.0,,34.0,,,,,,,,,,,,,2.0,38.0,,,979.0,,,5.0,,,,36.0,,40.0,,,,,,,,,,,359.0,,,1.0,,5.0,41.0,9.0,0.0,,,,,,,,39.0,,,,,,,,,,37.0,,41.0,,,36.0,4.0,40.0,,44.0,,,,7.0,,,,,,
,,,,,,,,714.0,,,40.0,,38.0,6.0,36.0,,34.0,,,,,,,,,,,,,2.0,38.0,,,33.0,,,5.0,,,,36.0,,,,,,,,,,,,,601.0,,,1.0,,,41.0,9.0,0.0,,,,,,,,39.0,,,,,,,,,,37.0,,41.0,,,36.0,4.0,40.0,,44.0,,,,,,,,,,
,,,,,,,,,,,414.0,,38.0,,,,34.0,,,,,,,,,,,,,157.0,,,,,,,,,,,36.0,,40.0,,,,,,7.0,,,,,51.0,,,,,,,,0.0,,,,,,,,39.0,,,,,,,,,,37.0,,41.0,,,36.0,4.0,40.0,,44.0,,,,7.0,,,,,,
