0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,33.0,,34.0,,,,36.0,,,,,,,,,,,,,573.0,,,,,,,3.0,39.0,,43.0,,,,,,,,,,,,,,533.0,,,770.0,,,,7.0,43.0,34.0,,,,42.0,,,,,,,,,,,,,762.0,,3.0,,,,1.0,34.0,,33.0,,9.0,,,,,,,,
,,,,,,,,808.0,623.0,,33.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,36.0,4.0,,8.0,,,,,,,,,,,724.0,,,,,,,,36.0,,40.0,,44.0,35.0,,,,,,,,,,,,,3.0,,7.0,,,2.0,38.0,6.0,42.0,33.0,,,,,,,,,,
,,,,,,,,544.0,,,33.0,,37.0,,,,0.0,,,,,,,,,,,,,38.0,6.0,,,,,,41.0,,,36.0,,,8.0,,,,,,,,,,,688.0,,,,,,,,33.0,43.0,,,,41.0,,,,,,,,,,,,,1.0,,0.0,,,9.0,40.0,6.0,39.0,,,,,,,,,,,
,,,,,,,,38.0,271.0,,33.0,,37.0,,,,,,,,,,,,,,,,,478.0,,,,,,,41.0,,,36.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,42.0,,43.0,,44.0,33.0,,,,,,,,,,,,,306.0,,1.0,,,,9.0,0.0,36.0,,,,,,,,,,,
,,,,,,,,,,,33.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,5.0,,4.0,,,,,,,,,,,326.0,,,18.0,,17.0,6.0,16.0,5.0,,,,,,,,,,,,,,,,,,,,18.0,,,,16.0,5.0,,,,,,2.0,,,,,,
,,,,,,,,,,,407.0,,37.0,,,,,,,,,,,,,,,,,38.0,4.0,,,36.0,,,1.0,34.0,,33.0,,,,,,996.0,,,,,,,,,,,43.0,,,6.0,39.0,5.0,38.0,,,,36.0,,,,,,,,,,,,,754.0,,39.0,,,4.0,37.0,3.0,36.0,,,,,26.0,,,,,,
,,,,,,,,,,,33.0,,37.0,,,,,,,,,,,,,,,,,214.0,755.0,,,68.0,,,41.0,,,36.0,4.0,,6.0,,,,,,,,,,,942.0,,,277.0,,,7.0,43.0,34.0,,38.0,,42.0,,,,,,,,,,,,,,617.0,,43.0,,,300.0,4.0,40.0,,44.0,,,,,,,,,,
,,,,,,,,,,,33.0,,37.0,,,,,,,,,,,,,,,,,808.0,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,63.0,6.0,64.0,,,,,,,33.0,,,,,,,,,,,,,,,,,,65.0,,,,,34.0,,,,,,
,,,,,,,,,,,33.0,,37.0,5.0,,,,,,,,,,,,,,,,921.0,726.0,,,3.0,,,39.0,,40.0,,,,42.0,,,,,,,,,,,,,,39.0,,,,2.0,38.0,,42.0,,,,,,33.0,,,,,,,,,,33.0,,38.0,,,,2.0,38.0,,42.0,,,,,,,,,,
,,,,,,,,,591.0,,0.0,,43.0,,,,,,,,,,,,,,,,,43.0,9.0,,,,,,4.0,,,,2.0,,,,,369.0,,,,,,,,,,,,,,,,2.0,,,,,10.0,,,,,,,,,,,,,603.0,,12.0,,,,10.0,43.0,,,,,,,,,,,,
