0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.0,87.0,55.0,44.0,54.0,64.0,53.0,63.0,52.0,62.0,51.0,61.0,50.0,60.0,49.0,59.0,48.0,58.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,42.0,55.0,46.0,37.0,50.0,41.0,54.0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.0,31.0,45.0,36.0,49.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,35.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,197.0,34.0,47.0,38.0,51.0,42.0,55.0,46.0,37.0,50.0,41.0,54.0,45.0,36.0,49.0,40.0,53.0,44.0,35.0,48.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,42.0,55.0,46.0,37.0,50.0,41.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,42.0,55.0,46.0,37.0,50.0,41.0,54.0,45.0,36.0,49.0,40.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,42.0,55.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,42.0,55.0,46.0,37.0,50.0,41.0,54.0,45.0,36.0,49.0,40.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.0,40.0,53.0,44.0,35.0,49.0,37.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,42.0,55.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.0,49.0,59.0,48.0,58.0,47.0,57.0,46.0,56.0,45.0,55.0,44.0,54.0,64.0,53.0,63.0,52.0,62.0,51.0,61.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,42.0,55.0,46.0,37.0,50.0,41.0,54.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.0,78.0,47.0,38.0,51.0,42.0,55.0,46.0,37.0,50.0,41.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,42.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,42.0,55.0,46.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,42.0,55.0,46.0,37.0,50.0,41.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,42.0,55.0,46.0,37.0,50.0,41.0,54.0,45.0,36.0,49.0,40.0,53.0,44.0,35.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.0,45.0,36.0,49.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.0,37.0,50.0,41.0,54.0,45.0,36.0,49.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,42.0,55.0,46.0,37.0,50.0,41.0,54.0,45.0,36.0,49.0,40.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.0,40.0,53.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.0,247.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.0,40.0,53.0,44.0,35.0,48.0,39.0,52.0,43.0,34.0,47.0,38.0,51.0,42.0,55.0,46.0,37.0,50.0,,,,,,,,,,,,,,,,,,,
