0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,497.0,,875.0,,879.0,,,,,,55.0,,631.0,,41.0,,617.0,,49.0,,53.0,,35.0,,39.0,,593.0,,861.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,825.0,,,,723.0,,45.0,,49.0,,53.0,,35.0,,655.0,,43.0,,47.0,,51.0,,55.0
,,,,,,,,,,,,,,,,,,,,,,,629.0,,,,,,,,,,693.0,,829.0,,41.0,,881.0,,49.0,,53.0,,35.0,,39.0,,43.0,,971.0,,51.0,,,,,,,,,,973.0,,,,,,,,,,,,,,693.0,,,,,,45.0,,709.0,,,,871.0,,39.0,,43.0,,47.0,,,,979.0
,,,,,,,,,,,,,,,,,,,,,,,519.0,,,,923.0,,,,,,55.0,,697.0,,41.0,,683.0,,49.0,,53.0,,35.0,,39.0,,43.0,,,,491.0,,,,,,,,,,995.0,,,,,,,,,,,,,,715.0,,939.0,,921.0,,573.0,,49.0,,,,607.0,,39.0,,43.0,,47.0,,953.0,,55.0
,,,,,,,,,,,,,,,,,,,,,,,475.0,,,,,,,,,,979.0,,477.0,,41.0,,45.0,,49.0,,53.0,,35.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671.0,,961.0,,,,441.0,,731.0,,,,651.0,,39.0,,43.0,,,,51.0,,
,,,,,948.0,,,,887.0,,,,,,,,,,,,,,189.0,,,,945.0,,,,,,55.0,,543.0,,41.0,,991.0,,49.0,,53.0,,35.0,,39.0,,747.0,,,,975.0,,,,,,,,,,,,,,,,,,,,,,,,671.0,,895.0,,701.0,,639.0,,621.0,,,,871.0,,545.0,,43.0,,443.0,,,,781.0
,,,,,,,,,,,,,,,,,,,,,,,497.0,,985.0,,989.0,,,,,,825.0,,763.0,,569.0,,969.0,,49.0,,53.0,,35.0,,39.0,,43.0,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,803.0,,983.0,,965.0,,727.0,,863.0,,,,,,765.0,,43.0,,47.0,,887.0,,55.0
,,,,,,,,,,,,,,,,,,,,,,,609.0,,986.0,,40.0,,,,,,37.0,,561.0,,560.0,,811.0,,54.0,,53.0,,52.0,,51.0,,50.0,,931.0,,825.0,,,,,,,,,,,,,,,,,,,,,,,,792.0,,812.0,,790.0,,726.0,,53.0,,,,,,50.0,,175.0,,48.0,,,,781.0
,,,,,,,,,,,,,,,,,,,,,,,497.0,,,,,,,,,,913.0,,543.0,,41.0,,45.0,,49.0,,53.0,,35.0,,39.0,,43.0,,,,865.0,,,,,,,,,,,,,,,,,,,,,,,,693.0,,807.0,,723.0,,793.0,,819.0,,,,35.0,,523.0,,43.0,,,,,,715.0
,,,928.0,,,,,,953.0,,,,,,,,,,,,,,387.0,,,,,,,,,,,,574.0,,762.0,,47.0,,46.0,,45.0,,44.0,,566.0,,943.0,,,,899.0,,,,,,,,,,,,,,,,,,,,,,,,488.0,,991.0,,45.0,,44.0,,923.0,,,,753.0,,731.0,,37.0,,36.0,,854.0,,
,,,994.0,,,,,,,,,,,,,,,,,,,,541.0,,,,,,,,,,803.0,,675.0,,393.0,,45.0,,49.0,,53.0,,35.0,,39.0,,43.0,,,,975.0,,,,,,,,,,,,,,,,,,,,,,,,869.0,,983.0,,965.0,,639.0,,49.0,,,,893.0,,,,43.0,,47.0,,,,935.0
,,,,,904.0,,,,931.0,,,,,,,,,,,,,,675.0,,,,999.0,,,,,,,,796.0,,38.0,,39.0,,500.0,,41.0,,396.0,,554.0,,712.0,,,,896.0,,,,,,,,,,,,,,,,,,,,,,,,482.0,,794.0,,930.0,,54.0,,806.0,,,,44.0,,48.0,,52.0,,562.0,,,,
