0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,1220.0,,,,,,1857.0,,1297.0,,,,,,,,2291.0,,,,1721.0,,523.0,,1085.0,,1779.0,,1373.0,,1605.0,,55.0,,529.0,,35.0,,47.0,,37.0,,49.0,,39.0,,51.0,,525.0,,647.0,,659.0,,2035.0,,,,1531.0,,,,1357.0,,,,1359.0,,,,41.0,,,,1011.0,,891.0,,3125.0,,1113.0,,575.0,,,,,,589.0,,51.0,,41.0,,53.0,,1209.0,,627.0
,1726.0,,,,,,2517.0,,1275.0,,4851.0,,,,,,,,,,1875.0,,589.0,,1107.0,,745.0,,1483.0,,1209.0,,55.0,,661.0,,35.0,,1191.0,,37.0,,49.0,,39.0,,51.0,,41.0,,53.0,,571.0,,1969.0,,2465.0,,1839.0,,,,1335.0,,4427.0,,1623.0,,2009.0,,1735.0,,,,1363.0,,803.0,,991.0,,739.0,,773.0,,917.0,,1435.0,,39.0,,51.0,,41.0,,53.0,,,,55.0
,1660.0,,,,44.0,,1857.0,,1077.0,,,,,,,,2841.0,,,,1589.0,,435.0,,843.0,,41.0,,1527.0,,1693.0,,825.0,,661.0,,35.0,,47.0,,37.0,,49.0,,39.0,,51.0,,41.0,,,,43.0,,1793.0,,45.0,,1619.0,,,,1203.0,,3151.0,,1623.0,,,,459.0,,,,1055.0,,869.0,,1739.0,,35.0,,47.0,,37.0,,49.0,,919.0,,51.0,,547.0,,53.0,,43.0,,55.0
,1264.0,,,,44.0,,2187.0,,1341.0,,4169.0,,,,,,2687.0,,,,1567.0,,,,1195.0,,1691.0,,1505.0,,1165.0,,55.0,,859.0,,35.0,,509.0,,37.0,,49.0,,39.0,,51.0,,41.0,,713.0,,43.0,,2101.0,,2729.0,,1839.0,,,,1247.0,,3437.0,,1513.0,,,,1075.0,,,,1033.0,,737.0,,1739.0,,35.0,,729.0,,,,1611.0,,721.0,,51.0,,41.0,,537.0,,967.0,,847.0
,1836.0,,,,44.0,,1901.0,,1319.0,,,,,,,,2577.0,,,,1831.0,,589.0,,1371.0,,,,581.0,,43.0,,759.0,,991.0,,35.0,,47.0,,37.0,,49.0,,39.0,,51.0,,41.0,,559.0,,43.0,,1947.0,,2641.0,,1707.0,,,,1115.0,,,,,,3813.0,,877.0,,,,,,781.0,,1057.0,,981.0,,47.0,,,,1435.0,,457.0,,51.0,,41.0,,53.0,,43.0,,891.0
,1704.0,,,,3322.0,,,,1231.0,,,,,,,,2247.0,,,,2249.0,,633.0,,931.0,,,,867.0,,1099.0,,55.0,,1255.0,,145.0,,47.0,,37.0,,49.0,,39.0,,51.0,,41.0,,559.0,,,,,,2135.0,,,,,,1423.0,,3173.0,,1425.0,,3109.0,,1801.0,,,,1473.0,,1001.0,,859.0,,783.0,,47.0,,807.0,,1699.0,,39.0,,51.0,,41.0,,53.0,,417.0,,803.0
,1440.0,,,,44.0,,1813.0,,1319.0,,4543.0,,,,,,,,,,1721.0,,567.0,,975.0,,41.0,,1153.0,,1737.0,,,,925.0,,343.0,,619.0,,37.0,,49.0,,39.0,,51.0,,41.0,,53.0,,43.0,,1705.0,,793.0,,1223.0,,,,1247.0,,,,1139.0,,3329.0,,41.0,,,,1209.0,,2255.0,,,,475.0,,47.0,,631.0,,1809.0,,39.0,,51.0,,41.0,,53.0,,1187.0,,55.0
,1682.0,,,,3784.0,,2671.0,,1143.0,,,,,,,,2599.0,,,,1875.0,,523.0,,1657.0,,1427.0,,1065.0,,2089.0,,715.0,,815.0,,35.0,,355.0,,37.0,,49.0,,39.0,,51.0,,41.0,,823.0,,989.0,,1793.0,,2421.0,,1553.0,,,,1225.0,,3833.0,,1579.0,,,,1735.0,,,,1165.0,,1023.0,,991.0,,1135.0,,707.0,,675.0,,1369.0,,39.0,,51.0,,41.0,,53.0,,945.0,,55.0
,1880.0,,,,44.0,,2473.0,,1319.0,,3531.0,,,,,,2379.0,,,,2161.0,,39.0,,887.0,,987.0,,1307.0,,1517.0,,715.0,,727.0,,35.0,,575.0,,37.0,,49.0,,39.0,,51.0,,41.0,,53.0,,43.0,,1793.0,,2245.0,,,,,,1203.0,,,,39.0,,3615.0,,1823.0,,,,1429.0,,847.0,,969.0,,1003.0,,47.0,,37.0,,1721.0,,611.0,,51.0,,41.0,,53.0,,,,55.0
,1374.0,,,,44.0,,,,1385.0,,,,,,,,2181.0,,,,1743.0,,655.0,,1349.0,,1515.0,,1483.0,,1583.0,,209.0,,749.0,,35.0,,47.0,,37.0,,49.0,,39.0,,51.0,,,,361.0,,,,1859.0,,2685.0,,2763.0,,,,1269.0,,,,1601.0,,2691.0,,2109.0,,,,1495.0,,847.0,,1057.0,,35.0,,47.0,,587.0,,1325.0,,39.0,,601.0,,41.0,,53.0,,43.0,,55.0
