0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.0,,,,797.0,,,,607.0,,,,43.0,,,,821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.0,,687.0,,,,,,875.0,,527.0,,927.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.0,,,,,,,,,,53.0,,35.0,,809.0,,813.0,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947.0,,753.0,,,,871.0,,39.0,,43.0,,47.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.0,,49.0,,53.0,,629.0,,39.0,,835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.0,,,,,,,,43.0,,707.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.0,,,,,,,,,,757.0,,35.0,,589.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,813.0,,47.0,,975.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,53.0,,,,,,637.0,,,,821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.0,,,,,,,,721.0,,43.0,,47.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.0,,,,49.0,,515.0,,35.0,,39.0,,615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.0,,753.0,,,,805.0,,39.0,,,,,,51.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,895.0,,41.0,,,,,,427.0,,673.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965.0,,,,,,,,,,,,43.0,,773.0,,,,55.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885.0,,53.0,,35.0,,,,43.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.0,,49.0,,,,,,39.0,,703.0,,795.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,53.0,,,,39.0,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.0,,,,,,,,39.0,,43.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,921.0,,,,577.0,,647.0,,35.0,,589.0,,43.0,,,,799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.0,,969.0,,819.0,,,,,,699.0,,,,47.0,,,,55.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855.0,,,,49.0,,53.0,,35.0,,39.0,,747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899.0,,947.0,,49.0,,53.0,,35.0,,,,43.0,,751.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,43.0,,44.0,,838.0,,842.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,34.0,,,,,,46.0,,50.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,825.0,,,,569.0,,,,49.0,,515.0,,717.0,,567.0,,945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951.0,,,,,,,,,,575.0,,51.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.0,,,,,,49.0,,537.0,,827.0,,831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,973.0,,,,893.0,,,,43.0,,685.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,49.0,,53.0,,35.0,,,,945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.0,,49.0,,,,35.0,,853.0,,43.0,,861.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961.0,,41.0,,,,49.0,,53.0,,35.0,,699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903.0,,,,,,,,,,,,47.0,,,,935.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.0,,701.0,,925.0,,49.0,,53.0,,35.0,,39.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.0,,45.0,,,,,,739.0,,39.0,,43.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917.0,,855.0,,859.0,,577.0,,515.0,,35.0,,39.0,,,,883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,47.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767.0,,,,,,,,497.0,,,,769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.0,,49.0,,,,,,,,43.0,,47.0,,865.0,,55.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.0,,833.0,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,39.0,,571.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,701.0,,45.0,,,,53.0,,607.0,,589.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926.0,,,,77.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.0,,53.0,,695.0,,765.0,,769.0,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,43.0,,47.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.0,,,,621.0,,53.0,,651.0,,545.0,,43.0,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705.0,,995.0,,,,783.0,,39.0,,505.0,,47.0,,953.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973.0,,53.0,,563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.0,,787.0,,43.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961.0,,41.0,,45.0,,49.0,,,,,,39.0,,725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937.0,,39.0,,439.0,,47.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807.0,,41.0,,,,49.0,,53.0,,35.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947.0,,49.0,,,,937.0,,39.0,,43.0,,,,,,55.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,53.0,,,,39.0,,,,971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,39.0,,43.0,,773.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.0,,,,49.0,,53.0,,651.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.0,,969.0,,,,,,,,39.0,,43.0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939.0,,965.0,,,,709.0,,383.0,,35.0,,39.0,,,,,,711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,53.0,,,,,,,,597.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.0,,45.0,,49.0,,53.0,,35.0,,39.0,,879.0,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.0,,,,,,,,827.0,,919.0,,43.0,,,,,,
