0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,76.0,0.0,30.0,,8.0,38.0,6.0,36.0,,34.0,,,,,,,,,,,,,531.0,38.0,,,33.0,,,5.0,,,0.0,,,,,,937.0,,,,,,,,579.0,,,1.0,,,41.0,9.0,0.0,36.0,,,,,,,39.0,,,,,,,,,,37.0,,41.0,,,,4.0,40.0,,,,,,,,,,,,
,,,,,,,,,,,40.0,,38.0,6.0,36.0,,34.0,,,,,,,,,,,,,399.0,,,,,,,5.0,,,0.0,36.0,,40.0,,,321.0,,,,,,,,799.0,,,1.0,,,,9.0,0.0,36.0,,,,,,,39.0,,,,,,,,,,37.0,,41.0,,,,4.0,40.0,,,,,,,,,,,,
,,,,,,,,,,,40.0,,38.0,6.0,,,34.0,,,,,,,,,,,,,597.0,588.0,,,33.0,,,5.0,41.0,,0.0,,,40.0,,,,,,,,,,,,,,1.0,,,283.0,9.0,0.0,36.0,,,,,,,39.0,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,
,,,,,,,,340.0,592.0,,40.0,,38.0,6.0,36.0,4.0,34.0,,,,,,,,,,,,,,,,,429.0,1.0,,5.0,,,0.0,36.0,,,,,,,,,,,,,623.0,,,1.0,,,41.0,9.0,0.0,36.0,,,,44.0,,,,,,,,,,,,,37.0,,41.0,,,,4.0,40.0,,44.0,,,,,,,,,,
,,,,,,,,,680.0,,40.0,,38.0,6.0,,,34.0,,,,,,,,,,,,,201.0,38.0,,,,,,5.0,41.0,,,36.0,,,,,,,,,,,,,,,,,,,,,0.0,36.0,,,,,,,39.0,,,,,,,,,,59.0,,41.0,,,,4.0,40.0,,,,,,,,,,,,
,,,,,,,,,,,392.0,,38.0,6.0,,,34.0,,,,,,,,,,,,,2.0,,,,,,,5.0,41.0,,,36.0,,40.0,,,783.0,,,,,,,,689.0,,,992.0,,,,54.0,0.0,36.0,,,,,,,39.0,,,,,,,,,,323.0,,41.0,,,,4.0,40.0,,,,,,,,,,,,
,,,,,,,,,,,40.0,,38.0,6.0,36.0,,34.0,,,,,,,,,,,,,2.0,38.0,,,33.0,,,5.0,41.0,,,,,40.0,,,,,,,,,,,381.0,,,1.0,,5.0,41.0,9.0,0.0,36.0,,,,,,,39.0,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,
,,,,,,,,,,,40.0,,38.0,6.0,36.0,,34.0,,,,,,,,,,,,,2.0,38.0,,,33.0,,,5.0,41.0,,,36.0,,40.0,,,,,,,,,,,755.0,,,1.0,,,41.0,9.0,0.0,36.0,,,,44.0,,,39.0,,,,,,,,,,389.0,,41.0,,,36.0,4.0,40.0,,44.0,,,,,,,,,,
,,,,,,,,,,,40.0,,38.0,6.0,36.0,4.0,34.0,,,,,,,,,,,,,2.0,500.0,,,,,,5.0,,,0.0,,,,,,,,,,,,,,403.0,,,1.0,,,613.0,9.0,0.0,36.0,,,,44.0,,,39.0,,,,,,,,,,323.0,,41.0,,,,4.0,40.0,,,,,,,,,,,,
,,,,,,,,824.0,878.0,,40.0,,38.0,6.0,,,34.0,,,,,,,,,,,,,2.0,,,,,,,5.0,,,,36.0,,40.0,,,,,,,,,,,6.0,,,1.0,,,41.0,9.0,0.0,36.0,,,,44.0,,,39.0,,,,,,,,,,279.0,,41.0,,,36.0,4.0,40.0,,,,,,,,,,,,
,,,,,,,,,,,40.0,,38.0,6.0,36.0,4.0,34.0,,,,,,,,,,,,,,984.0,,,,,,5.0,,,,,,40.0,,,365.0,,,,,,,,953.0,,,,,,,,0.0,36.0,,,,44.0,,,39.0,,,,,,,,,,169.0,,41.0,,,,4.0,40.0,,44.0,,,,,,,,,,
,,,,,,,,,,,40.0,,38.0,6.0,,,34.0,,,,,,,,,,,,,311.0,,,,,,,5.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,36.0,,,,,,,39.0,,,,,,,,,,37.0,,41.0,,,36.0,4.0,40.0,,,,,,,,,,,,
,,,,,,,,,,,40.0,,38.0,6.0,36.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,36.0,,40.0,,,,,,,,,,,6.0,,,1.0,,,41.0,9.0,0.0,36.0,,,,44.0,,,,,,,,,,,,,37.0,,41.0,,,520.0,4.0,40.0,,,,,,,,,,,,
,,,,,,,,,,,480.0,,38.0,6.0,36.0,,34.0,,,,,,,,,,,,,,,,,,,,5.0,41.0,,0.0,36.0,,40.0,,,,,,,,,,,821.0,,,,,,,,0.0,,,,,,,,39.0,,,,,,,,,,37.0,,41.0,,,36.0,4.0,40.0,,,,,,,,,,,,
