0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,264.0,,996.0,,,6.0,40.0,,,38.0,30.0,2.0,36.0,,,,,,,,,,,,8.0,,34.0,,,,4.0,38.0,,2.0,36.0,8.0,0.0,,,,,,,,,,,,,,40.0,,,38.0,,2.0,,8.0,,34.0,6.0,40.0,32.0,,,30.0,,,,,,,,,,,30.0,2.0,,204.0,,,6.0,40.0,32.0,4.0,38.0,,,,,,,,
,,,,,968.0,,,,,6.0,,,,38.0,30.0,2.0,36.0,,,,,,,,,,,,8.0,,34.0,,,,1058.0,38.0,,,36.0,8.0,0.0,,,,,,,,,,,,,,744.0,,,38.0,,2.0,,8.0,,34.0,6.0,40.0,32.0,,,30.0,,,,,,,,,,,30.0,2.0,,,,,6.0,40.0,32.0,4.0,38.0,,,,,,,,
,,,,,,,1040.0,460.0,386.0,6.0,40.0,32.0,4.0,38.0,,,36.0,,,,,,,,,,,,292.0,,34.0,,,,,,,,36.0,8.0,0.0,,,,,,,,,,,,,,40.0,,,38.0,,2.0,,8.0,,34.0,6.0,40.0,32.0,,,30.0,,,,,,,,,,,30.0,2.0,,,,,6.0,40.0,32.0,4.0,38.0,,,,,,,,
,,,,,638.0,,,856.0,,6.0,40.0,,,38.0,30.0,2.0,36.0,,,,,,,,,,,,8.0,,34.0,,,,4.0,38.0,,2.0,36.0,8.0,0.0,,,,,,,,,,,,,,,,,38.0,,2.0,,8.0,,34.0,6.0,40.0,32.0,,,30.0,,,,,,,,,,,30.0,2.0,,8.0,,,6.0,40.0,32.0,4.0,38.0,,,,,,,,
,,,,,946.0,,,,,6.0,40.0,,,38.0,30.0,,36.0,,,,,,,,,,,,8.0,,34.0,,,,,38.0,,,36.0,8.0,0.0,,,,,,,,,,,,,,40.0,,,38.0,,2.0,,8.0,,34.0,6.0,40.0,32.0,,,30.0,,,,,,,,,,,30.0,2.0,,,,,6.0,40.0,32.0,4.0,38.0,,,,,,,,
,,,,,88.0,,952.0,812.0,,6.0,40.0,32.0,4.0,38.0,30.0,,36.0,,,,,,,,,,,,8.0,,34.0,,,,,,,,36.0,8.0,0.0,,,,,,,,,,,,,,,,,38.0,,2.0,,8.0,,34.0,6.0,40.0,32.0,,,30.0,,,,,,,,,,,30.0,2.0,,,,,6.0,40.0,32.0,4.0,38.0,,,,,,,,
,,,,,198.0,,600.0,0.0,,6.0,40.0,32.0,4.0,38.0,30.0,,36.0,,,,,,,,,,,,8.0,,34.0,,,,,,,,36.0,8.0,0.0,,,,,,,,,,,,,,40.0,,,38.0,,2.0,,8.0,,34.0,6.0,40.0,32.0,,,30.0,,,,,,,,,,,30.0,2.0,,50.0,,,6.0,40.0,32.0,4.0,38.0,,,,,,,,
,,,,,1122.0,,,,,,,,,38.0,30.0,,36.0,,,,,,,,,,,,8.0,,34.0,,,,,38.0,,,36.0,8.0,0.0,,,,,,,,,,,,,,348.0,,,38.0,,2.0,,8.0,,34.0,6.0,40.0,32.0,,,30.0,,,,,,,,,,,30.0,2.0,,,,,6.0,40.0,32.0,4.0,38.0,,,,,,,,
,,,,,,,,,,6.0,40.0,,,38.0,30.0,,36.0,,,,,,,,,,,,8.0,,34.0,,,,4.0,38.0,,2.0,36.0,8.0,,,,,,,,,,,,,,,,,,38.0,,2.0,,8.0,,34.0,6.0,40.0,32.0,,,30.0,,,,,,,,,,,30.0,,,,,,,40.0,32.0,4.0,38.0,30.0,,,,,,,
,,,,,704.0,,,856.0,,6.0,40.0,32.0,4.0,38.0,30.0,,36.0,,,,,,,,,,,,,,,,,,,,,,36.0,8.0,,,,,,,,,,,,,,,,,,,,,,,0.0,34.0,,40.0,32.0,,,30.0,,,,,,,,,,,,,,,,,,40.0,32.0,,38.0,,,,,,,,
